i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
372,01767,01767.HK,È«Äá °Å·¡¼Ò,20221231,20221231
373,01873,01873.HK,È«Äá °Å·¡¼Ò,20221231,20221231
374,01780,01780.HK,È«Äá °Å·¡¼Ò,20230331,20230331
375,08489,08489.HK,È«Äá °Å·¡¼Ò,20230331,20230331
376,08627,08627.HK,È«Äá °Å·¡¼Ò,20230331,20230331
377,01877,01877.HK,È«Äá °Å·¡¼Ò,20221231,20221231
378,06160,06160.HK,È«Äá °Å·¡¼Ò,20230331,20230331
379,02356,02356.HK,È«Äá °Å·¡¼Ò,20221231,20221231
380,01995,01995.HK,È«Äá °Å·¡¼Ò,20221231,20221231
381,02013,02013.HK,È«Äá °Å·¡¼Ò,20221231,20221231
382,01872,01872.HK,È«Äá °Å·¡¼Ò,20221231,20221231
383,02181,02181.HK,È«Äá °Å·¡¼Ò,20221231,20221231
384,08607,08607.HK,È«Äá °Å·¡¼Ò,20230331,20230331
385,02680,02680.HK,È«Äá °Å·¡¼Ò,20230228,20230228
386,02552,02552.HK,È«Äá °Å·¡¼Ò,20221231,20221231
387,01891,01891.HK,È«Äá °Å·¡¼Ò,20221231,20221231
388,01983,01983.HK,È«Äá °Å·¡¼Ò,20221231,20221231
389,00987,00987.HK,È«Äá °Å·¡¼Ò,20221231,20221231
390,08200,08200.HK,È«Äá °Å·¡¼Ò,20221231,20221231
392,08096,08096.HK,È«Äá °Å·¡¼Ò,20221231,20221231
393,01753,01753.HK,È«Äá °Å·¡¼Ò,20221231,20221231
394,00321,00321.HK,È«Äá °Å·¡¼Ò,20230331,20230331
395,03692,03692.HK,È«Äá °Å·¡¼Ò,20221231,20221231
396,00924,00924.HK,È«Äá °Å·¡¼Ò,20221231,20221231
397,02019,02019.HK,È«Äá °Å·¡¼Ò,20221231,20221231
398,01755,01755.HK,È«Äá °Å·¡¼Ò,20221231,20221231
399,01801,01801.HK,È«Äá °Å·¡¼Ò,20221231,20221231
400,03616,03616.HK,È«Äá °Å·¡¼Ò,20221231,20221231
401,03877,03877.HK,È«Äá °Å·¡¼Ò,20221231,20221231
402,01935,01935.HK,È«Äá °Å·¡¼Ò,20221231,20221231
403,01761,01761.HK,È«Äá °Å·¡¼Ò,20221231,20221231
404,02616,02616.HK,È«Äá °Å·¡¼Ò,20221231,20221231
405,01209,01209.HK,È«Äá °Å·¡¼Ò,20221231,20221231
406,00989,00989.HK,È«Äá °Å·¡¼Ò,20220930,20220930
407,02158,02158.HK,È«Äá °Å·¡¼Ò,20220930,20220930
