i,etf,코드,이름,내용
8519,etf,SESG,Sprott ESG Gold ETF,
8520,etf,SESG,Sprott ESG Gold ETF,
8531,,SFIG,WisdomTree US Short-Term Corporate Bond Fund,
8534,etf,SFLR,Innovator Equity Managed Floor ETF,
8541,etf,SFY,SoFi Select 500 ETF,
8542,etf,SFYF,SoFi Social 50 ETF,
8543,etf,SFYX,SoFi Next 500 ETF,
8544,,SG,255220,
8545,,SGA,49470,
8548,etf,SGDJ,Sprott Junior Gold Miners ETF,
8549,etf,SGDM,Sprott Gold Miners ETF,
8557,etf,SGLC,SGI U.S. Large Cap Core ETF,
8562,etf,SGOL,abrdn Physical Gold Shares ETF,
8563,etf,SGOV,iShares 0-3 Month Treasury Bond ETF,
8568,etf,SH,ProShares Short S&P500 ETF,
8569,,SHAG,WisdomTree Yield Enhanced US Sh-Tr Aggregate Bond,
8577,etf,SHDG,Soundwatch Hedged Equity ETF,
8578,etf,SHE,SPDR MSCI USA Gender Diversity ETF,
8586,etf,SHM,SPDR Nuveen Bloomberg Short Term Mun Bond ETF,
8591,etf,SHOC,Strive US Semiconductor ETF,
8595,etf,SHPP,Pacer Industrials and Logistics ETF,
8599,etf,SHUS,Syntax Stratified US Total Market Hedged ETF,
8600,etf,SHV,iShares Short Treasury Bond ETF,
8602,etf,SHY,iShares 1-3 Year Treasury Bond ETF,
8603,etf,SHYD,VanEck Short High Yield Muni ETF,
8605,etf,SHYG,iShares 0-5 Year High Yield Corporate Bond ETF,
8606,etf,SHYL,Xtrackers Short Duration High Yield Bond ETF,
8613,etf,SIFI,Harbor Scientific Alpha Income ETF,
8619,etf,SIHY,Harbor Scientific Alpha High-Yield ETF,
8621,,SIJ,ProShares UltraShort Industrials,
8622,etf,SIL,Global X Silver Miners ETF,
8624,etf,SILJ,ETFMG Prime Junior Silver Miners ETF,
8628,etf,SILX,ETFMG Prime 2X Daily Junior Silver Miners ETF,
8631,etf,SIMS,SPDR S&P Kensho Intelligent Structures ETF,
8633,etf,SIO,Touchstone Strategic Income Opportunities ETF,
8640,etf,SIVR,abrdn Physical Silver Shares ETF,
8642,etf,SIXA,ETC 6 Meridian Mega Cap Equity ETF,
8643,etf,SIXH,ETC 6 Meridian Hedged Equity Index Option ETF,
8644,,SIXJ,AllianzIM US Large Cap 6 Month Buffer10 Jan/Jul,
8645,etf,SIXL,ETC 6 Meridian Low Beta Equity ETF,
8646,,SIXO,AllianzIM US Large Cap 6 Month Buffer10 Apr/Oct,
8647,etf,SIXS,ETC 6 Meridian Small Cap Equity ETF,
8648,etf,SIZE,iShares MSCI USA Size Factor ETF,
8650,,SJB,ProShares Short High Yield,
8651,etf,SJIM,Inverse Cramer Tracker ETF,
8652,,SJM,123700,
8653,etf,SJNK,SPDR Bloomberg Short Term High Yield Bond ETF,
8657,etf,SKF,ProShares UltraShort Financials ETF,
8664,,SKOR,FlexShares Credit-Scored US Corp Bond Index Fund,
8671,,SKYU,ProShares Ultra Nasdaq Cloud Computing,
8674,etf,SKYY,First Trust Cloud Computing ETF,
8702,etf,SLQD,iShares 0-5 Year Investment Grade Corporate Bd ETF,
8708,,SLV,iShares Silver Trust,
8711,etf,SLVP,iShares MSCI Global Silver and Metals Miners ETF,
8714,etf,SLX,VanEck Steel ETF,
8715,etf,SLYG,SPDR S&P 600 Small Cap Growth ETF,
8716,etf,SLYV,SPDR S&P 600 Small Cap Value ETF,
