i,ÀÌ¸§, ÄÚµå, °Å·¡¼Ò, koscom_day, naver_day
2199,02623,02623.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2200,01522,01522.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2201,01907,01907.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2202,02068,02068.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2203,03669,03669.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2204,00695,00695.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2205,06826,06826.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2206,01237,01237.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2207,01335,01335.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2208,01332,01332.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2209,01616,01616.HK,È«Äá °Å·¡¼Ò,20211231,20211231
2210,06889,06889.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2211,01697,01697.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2212,02178,02178.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2213,03948,03948.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2214,01468,01468.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2215,03816,03816.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2216,01326,01326.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2217,08221,08221.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2218,02223,02223.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2219,01375,01375.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2220,01314,01314.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2221,01030,01030.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2222,02196,02196.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2223,02236,02236.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2224,01232,01232.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2225,00540,00540.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2226,01515,01515.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2227,01680,01680.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2228,01348,01348.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2229,01461,01461.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2230,02033,02033.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2231,02039,02039.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2232,01319,01319.HK,È«Äá °Å·¡¼Ò,20230228,20230228
2233,00864,00864.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2234,01148,01148.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2235,01270,01270.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2236,03380,03380.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2237,01673,01673.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2238,03836,03836.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2239,03997,03997.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2240,08201,08201.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2241,01297,01297.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2242,06877,06877.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2243,02112,02112.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2244,06888,06888.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2245,01778,01778.HK,È«Äá °Å·¡¼Ò,20210630,20210630
2246,01316,01316.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2247,01250,01250.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2248,01107,01107.HK,È«Äá °Å·¡¼Ò,20211231,20211231
2249,06898,06898.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2250,08073,08073.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2251,01255,01255.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2252,01372,01372.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2253,02799,02799.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2254,02183,02183.HK,È«Äá °Å·¡¼Ò,20211231,20211231
2255,01271,01271.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2256,00636,00636.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2257,03908,03908.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2258,08310,08310.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2259,02066,02066.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2260,01330,01330.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2261,03638,03638.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2262,01273,01273.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2263,08018,08018.HK,È«Äá °Å·¡¼Ò,20230331,20230331
2264,00484,00484.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2265,01359,01359.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2266,02393,02393.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2267,01345,01345.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2268,01246,01246.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2269,08181,08181.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2270,01321,01321.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2273,00932,00932.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2274,00401,00401.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2275,00799,00799.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2276,01358,01358.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2277,01396,01396.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2278,06108,06108.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2279,01862,01862.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2280,01290,01290.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2281,01370,01370.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2282,01431,01431.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2283,08326,08326.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2284,03608,03608.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2285,01884,01884.HK,È«Äá °Å·¡¼Ò,20220930,20220930
2286,01268,01268.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2287,02211,02211.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2288,03315,03315.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2289,01689,01689.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2290,01520,01520.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2291,01483,01483.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2292,01233,01233.HK,È«Äá °Å·¡¼Ò,20221231,20221231
2293,00586,00586.HK,È«Äá °Å·¡¼Ò,20221231,20221231
