i,이름, 코드, 거래소, koscom_day, naver_day
115,Adams Diversified Equity Fund, Inc.,ADX,뉴욕 거래소,20221231,20221231
116,애딕스 테라퓨틱스 ADR,ADXN.O,나스닥 증권거래소,20230331,20230331
117,아담스 리소스 & 에너지,AE,아멕스 증권거래소,20230331,20230331
118,얼터너지 애퀴지션,AEAE.O,나스닥 증권거래소,20230331,20230331
119,애머런,AEE,뉴욕 거래소,20230331,20230331
120,abrdn Emerging Markets Equity Income Mutual Fund,AEF,아멕스 증권거래소,20221231,20221231
121,아에혼 ADR,AEG,뉴욕 거래소,20221231,20221231
122,안텔로페 엔터프라이즈 홀딩스,AEHL.O,나스닥 증권거래소,20221231,20221231
123,에흐르 테스트 시스템즈,AEHR.O,나스닥 증권거래소,20230228,20230228
124,알셋,AEI.O,나스닥 증권거래소,20230331,20230331
125,어드밴스드 에너지 인더스트리스,AEIS.O,나스닥 증권거래소,20230331,20230331
126,아메리칸 에퀴티 인베스트먼트 라이프 홀딩,AEL,뉴욕 거래소,20230331,20230331
127,애그니코 이글 마인스,AEM,뉴욕 거래소,20230331,20230331
128,애슬론 메디컬,AEMD.O,나스닥 증권거래소,20221231,20221231
130,아메리칸 이글 아웃피터스,AEO,뉴욕 거래소,20230429,20230429
131,아메리칸 일렉트릭 파워 컴퍼니,AEP.O,나스닥 증권거래소,20230331,20230331
133,AES,AES,뉴욕 거래소,20230331,20230331
134,아틀라스 에너지 솔루션스,AESI.K,뉴욕 거래소,20230331,20230331
135,애바 테크놀로지스,AEVA.K,뉴욕 거래소,20230331,20230331
136,애드밴티지 테크놀로지스 그룹,AEY.O,나스닥 증권거래소,20230331,20230331
137,오디오아이,AEYE.O,나스닥 증권거래소,20230331,20230331
138,에터나 젠타리스,AEZS.O,나스닥 증권거래소,20230331,20230331
139,아우라 FAT 프로젝트 애퀴지션,AFAR.O,나스닥 증권거래소,20230228,20230228
140,AllianceBernstein National Municipal Income Fund,AFB,뉴욕 거래소,20221031,20221031
141,어피니티 뱅크셰어스,AFBI.O,나스닥 증권거래소,20230331,20230331
142,AFC 감마,AFCG.O,나스닥 증권거래소,20230331,20230331
143,아메리칸 파이낸셜 그룹,AFG,뉴욕 거래소,20230331,20230331
144,아쿠투스 메디컬,AFIB.O,나스닥 증권거래소,20230331,20230331
145,애플랙,AFL,뉴욕 거래소,20230331,20230331
146,아피메드,AFMD.O,나스닥 증권거래소,20230331,20230331
148,어펌 홀딩스,AFRM.O,나스닥 증권거래소,20230331,20230331
149,애프터넥스트 헬스테크 애퀴지션,AFTR.K,뉴욕 거래소,20230331,20230331
151,아피야,AFYA.O,나스닥 증권거래소,20230331,20230331
152,아프리칸 골드 애퀴지션,AGAC.K,뉴욕 거래소,20220331,20220331
153,얼라이드 게이밍 앤 엔터테인먼트,AGAE.O,나스닥 증권거래소,20230331,20230331
154,AGBA 그룹 홀딩,AGBA.O,나스닥 증권거래소,20230331,20230331
155,애그코,AGCO.K,뉴욕 거래소,20230331,20230331
156,에이지엑스 테라퓨틱스,AGE,아멕스 증권거래소,20230331,20230331
157,아제너스,AGEN.O,나스닥 증권거래소,20230331,20230331
158,애그리파이,AGFY.O,나스닥 증권거래소,20220930,20220930
159,알라모스 골드,AGI.TO,뉴욕 거래소,20230331,20230331
160,애자일소트,AGIL.O,나스닥 증권거래소,20230331,20230331
161,애지오스 파마슈티컬스,AGIO.O,나스닥 증권거래소,20230331,20230331
162,애질론 헬스,AGL,뉴욕 거래소,20230331,20230331
163,애글리아 바이오 테라퓨틱스,AGLE.O,나스닥 증권거래소,20230331,20230331
164,페더럴 애그리컬처럴 모기지 Class C,AGM,뉴욕 거래소,20230331,20230331
165,AGM 그룹 홀딩스,AGMH.O,나스닥 증권거래소,20220630,20220630
166,AGNC 인베스트먼트,AGNC.O,나스닥 증권거래소,20230331,20230331
167,어슈어드 개런티,AGO,뉴욕 거래소,20230331,20230331
168,아반그리드,AGR,뉴욕 거래소,20230331,20230331
169,애그리포스 그로잉 시스템즈,AGRI.O,나스닥 증권거래소,20230331,20230331
170,아데코아그로,AGRO.K,뉴욕 거래소,20230331,20230331
171,애자일 테라퓨틱스,AGRX.O,나스닥 증권거래소,20230331,20230331
172,플레이AGS,AGS,뉴욕 거래소,20230331,20230331
173,어질리티,AGTI.K,뉴욕 거래소,20230331,20230331
174,아간,AGX,뉴욕 거래소,20230430,20230430
176,어댑트헬스,AHCO.O,나스닥 증권거래소,20230331,20230331
177,악소 헬스 그룹 ADR,AHG.O,나스닥 증권거래소,20220930,20220930
178,아마다 호플러 프로퍼티즈,AHH,뉴욕 거래소,20230331,20230331
179,어드밴스드 헬스 인텔리전스,AHI.O,나스닥 증권거래소,20221231,20221231
181,애시포드 호스피탤리티 트러스트,AHT,뉴욕 거래소,20230331,20230331
182,C3 AI,AI,뉴욕 거래소,20230430,20230430
183,AIB 애퀴지션,AIB.O,나스닥 증권거래소,20230331,20230331
184,아메리칸 인터내셔널 그룹,AIG,뉴욕 거래소,20230331,20230331
186,센미아오 테크놀러지,AIHS.O,나스닥 증권거래소,20221231,20221231
187,AIM 이뮤노테크,AIM,아멕스 증권거래소,20230331,20230331
188,Aimfinity Investment I Units,AIMAU.O,나스닥 증권거래소,20230331,20230331
189,에이노스,AIMD.O,나스닥 증권거래소,20230331,20230331
191,애시포드,AINC.K,아멕스 증권거래소,20230331,20230331
192,Virtus Artificial Intelligence and Technology Opportunities Fund,AIO,뉴욕 거래소,20230131,20230131
193,아테리스,AIP.O,나스닥 증권거래소,20230331,20230331
194,AAR,AIR,뉴욕 거래소,20230228,20230228
195,아파트먼트 인컴 릿츠,AIRC.K,뉴욕 거래소,20230331,20230331
196,에어게인,AIRG.O,나스닥 증권거래소,20230331,20230331
197,에어 인더스트리스 그룹,AIRI.K,아멕스 증권거래소,20221231,20221231
198,에어스컬프 테크놀로지스,AIRS.O,나스닥 증권거래소,20230331,20230331
199,에어 T,AIRT.O,나스닥 증권거래소,20221231,20221231
200,어플라이드 인더스트리얼 테크놀로지,AIT,뉴욕 거래소,20230331,20230331
201,메타 데이터 ADR,AIU,뉴욕 거래소,20220831,20220831
202,아파트먼트 인베스트먼트 & 매니지먼트,AIV,뉴욕 거래소,20230331,20230331
