i,이름, 코드, 거래소, koscom_day, naver_day
297,딘 캐피탈 인베스트먼트 그룹 JSC,PDB.HN,하노이 거래소,20230331,20230331
298,베트남송유,VIP.HM,호치민 거래소,20230331,20230331
299,미짜우포장인쇄,MCP.HM,호치민 거래소,20230331,20230331
300,국제항공해운,SFI.HM,호치민 거래소,20230331,20230331
301,탄빈전자,VTB.HM,호치민 거래소,20230331,20230331
302,다낭고무,DRC.HM,호치민 거래소,20230331,20230331
303,국립종묘,NSC.HM,호치민 거래소,20221231,20221231
304,PVI인베스트,PV2.HN,하노이 거래소,20230331,20230331
305,호아팟교재출판,HTP.HN,하노이 거래소,20230331,20230331
306,페트롤리멕스하이퐁,PTS.HN,하노이 거래소,20230331,20230331
307,하노이교과서,EBS.HN,하노이 거래소,20230331,20230331
308,동아페인트,HDA.HN,하노이 거래소,20230331,20230331
309,페트폴리멕스탱커,PJT.HM,호치민 거래소,20230331,20230331
310,비셈석고시멘트,TXM.HN,하노이 거래소,20230331,20230331
311,LDG투자,LDG.HM,호치민 거래소,20230331,20230331
312,페트롤리멕스석화,PLC.HN,하노이 거래소,20230331,20230331
313,니아베상수도,NBW.HN,하노이 거래소,20230331,20230331
314,PT통신설비,POT.HN,하노이 거래소,20230331,20230331
315,비메코,VMC.HN,하노이 거래소,20230331,20230331
316,BGI 그룹 JSC,VC7.HN,하노이 거래소,20230331,20230331
317,페트롤리멕스하노이,PJC.HN,하노이 거래소,20230331,20230331
318,데땀,DTA.HM,호치민 거래소,20230331,20230331
319,껀던수력,SJD.HM,호치민 거래소,20230331,20230331
320,제3-2건설투자,C32.HM,호치민 거래소,20230331,20230331
321,투득무역,TMC.HN,하노이 거래소,20230331,20230331
322,호치민금속,HMC.HM,호치민 거래소,20230331,20230331
323,사이공어망,SFN.HN,하노이 거래소,20230331,20230331
324,하노이교재출판,TPH.HN,하노이 거래소,20230331,20230331
325,미엔동,MDG.HM,호치민 거래소,20230331,20230331
326,응안손,NST.HN,하노이 거래소,20230331,20230331
327,중앙전기,CJC.HN,하노이 거래소,20230331,20230331
328,송다11,SJE.HN,하노이 거래소,20230331,20230331
329,사디코컨터,SDG.HN,하노이 거래소,20230331,20230331
330,도메스토의약무역,DMC.HM,호치민 거래소,20230331,20230331
331,남딘출판교육장비,DST.HN,하노이 거래소,20230331,20230331
332,도탄테크,DTT.HM,호치민 거래소,20230331,20230331
333,비나켐배터리,PAC.HM,호치민 거래소,20230331,20230331
334,동나이페인트,SDN.HN,하노이 거래소,20230331,20230331
335,DNP 홀딩,DNP.HN,하노이 거래소,20230331,20230331
336,비엔동투자개발,VID.HM,호치민 거래소,20230331,20230331
337,비나콘트롤그룹,VNC.HN,하노이 거래소,20230331,20230331
338,베지텍스코,VGP.HN,하노이 거래소,20230331,20230331
339,사이공의류,GMC.HM,호치민 거래소,20230331,20230331
340,쪼론부동산,RCL.HN,하노이 거래소,20230331,20230331
341,비셈시멘트운송,VTV.HN,하노이 거래소,20230331,20230331
342,CII인프라투자,LGC.HM,호치민 거래소,20230331,20230331
343,타이닌케이블카,TCT.HM,호치민 거래소,20230331,20230331
344,투언안목재,GTA.HM,호치민 거래소,20230331,20230331
345,뱀부캐피탈,BCG.HM,호치민 거래소,20230331,20230331
346,따이닌고무,TRC.HM,호치민 거래소,20230331,20230331
347,바오베트남,BVH.HM,호치민 거래소,20230331,20230331
348,비엔호아포장,SVI.HM,호치민 거래소,20230331,20230331
349,베트남전기건설,VNE.HM,호치민 거래소,20230331,20230331
350,바리어화력발전,BTP.HM,호치민 거래소,20230331,20230331
351,PV보험,PVI.HN,하노이 거래소,20230331,20230331
352,안장무역,AGM.HM,호치민 거래소,20230331,20230331
353,통낫고무,TNC.HM,호치민 거래소,20230331,20230331
354,황꾸안,HQC.HM,호치민 거래소,20230331,20230331
355,쿠롱수산,ACL.HM,호치민 거래소,20230331,20230331
356,쯔엉탄가구,TTF.HM,호치민 거래소,20230331,20230331
357,빈그룹,VIC.HM,호치민 거래소,20230331,20230331
358,하장광산기술,HGM.HN,하노이 거래소,20230331,20230331
359,PV기술서비스,PVS.HN,하노이 거래소,20230331,20230331
360,월스트리트증권,WSS.HN,하노이 거래소,20221231,20221231
361,벤쩨 파마슈티컬,DBT.HM,호치민 거래소,20230331,20230331
362,전력설비JSC,THI.HM,호치민 거래소,20221231,20221231
364,송다4,SD4.HN,하노이 거래소,20230331,20230331
365,테크노농자재,TSC.HM,호치민 거래소,20230331,20230331
366,바리어주택개발,HDC.HM,호치민 거래소,20230331,20230331
367,까마우트레이딩,CMV.HM,호치민 거래소,20230331,20230331
368,롱탄건설무역,KDM.HN,하노이 거래소,20230331,20230331
369,베트남탱커,VTO.HM,호치민 거래소,20221231,20221231
370,NBB인베스트먼트,NBB.HM,호치민 거래소,20230331,20230331
371,제5건설,SC5.HM,호치민 거래소,20230331,20230331
372,탄꽁의류,TCM.HM,호치민 거래소,20230331,20230331
373,사오마이그룹,ASM.HM,호치민 거래소,20230331,20230331
374,비나코민몽드엉,MDC.HN,하노이 거래소,20230331,20230331
375,비나코민하람,HLC.HN,하노이 거래소,20230331,20230331
376,띤응히아산업단지,TIP.HM,호치민 거래소,20230331,20230331
377,쯔엉드엉,CDC.HM,호치민 거래소,20230331,20230331
378,PV비료화학,DPM.HM,호치민 거래소,20230331,20230331
379,호아센그룹,HSG.HM,호치민 거래소,20230331,20230331
380,IDICO도시주택개발,UIC.HM,호치민 거래소,20230331,20230331
381,DIC부동산,DIG.HM,호치민 거래소,20230331,20230331
382,트엉푸,CTP.HN,하노이 거래소,20230331,20230331
383,드릴링머드,PVC.HN,하노이 거래소,20230331,20230331
384,하이하제과,HHC.HN,하노이 거래소,20230331,20230331
385,비셈황마이시멘트,HOM.HN,하노이 거래소,20230331,20230331
386,TNG투자무역,TNG.HN,하노이 거래소,20230331,20230331
387,람동식품,VDL.HN,하노이 거래소,20221231,20221231
388,탄다이훙플라스틱,TPC.HM,호치민 거래소,20230331,20230331
389,하이퐁시멘트운송,HCT.HN,하노이 거래소,20230331,20230331
390,비나코민기계,CTT.HN,하노이 거래소,20230331,20230331
391,PV운송,PVT.HM,호치민 거래소,20230331,20230331
393,남베트남수산,ANV.HM,호치민 거래소,20230331,20230331
394,비셈하이반시멘트,HVX.HM,호치민 거래소,20230331,20230331
395,뚜리엠도시개발,NTL.HM,호치민 거래소,20230331,20230331
396,쪼론상수도,CLW.HM,호치민 거래소,20230331,20230331
397,고등교과전문서적,HEV.HN,하노이 거래소,20230331,20230331
398,베트남무역은행,VCB.HM,호치민 거래소,20230331,20230331
399,트란스코,TJC.HN,하노이 거래소,20230331,20230331
400,시에우탄,ST8.HM,호치민 거래소,20230331,20230331
401,리라마10,L10.HM,호치민 거래소,20230331,20230331
402,킨박도시개발,KBC.HM,호치민 거래소,20230331,20230331
403,호아캠콘크리트,HCC.HN,하노이 거래소,20230331,20230331
404,사이공 그라운드 서비스,SGN.HM,호치민 거래소,20230331,20230331
405,동나이항,PDN.HM,호치민 거래소,20230331,20230331
406,베트남컨테이너해운,VSC.HM,호치민 거래소,20230331,20230331
407,엔바이농림식품,CAP.HN,하노이 거래소,20230331,20230331
408,빈투언출판교육장비,BST.HN,하노이 거래소,20230331,20230331
409,롱하우,LHG.HM,호치민 거래소,20230331,20230331
410,페트폴리멕스무역,PIT.HM,호치민 거래소,20230331,20230331
411,사라베트남,SRA.HN,하노이 거래소,20230331,20230331
412,비나코넥스6,VC6.HN,하노이 거래소,20230331,20230331
413,안파석유그룹,ASP.HM,호치민 거래소,20230331,20230331
414,디엔꽝조명,DQC.HM,호치민 거래소,20230331,20230331
415,롱안출판교육장비,LBE.HN,하노이 거래소,20230331,20230331
416,탄탄꽁타이닌,SBT.HM,호치민 거래소,20230331,20230331
417,FIT인베스트먼트,FIT.HM,호치민 거래소,20230331,20230331
418,다바코 그룹,DBC.HM,호치민 거래소,20230331,20230331
419,타스코,HUT.HN,하노이 거래소,20230331,20230331
420,리라마69.2,L62.HN,하노이 거래소,20230331,20230331
421,건설 투자 JSC 넘버18,L18.HN,하노이 거래소,20230331,20230331
422,담센워터파크,DSN.HM,호치민 거래소,20230331,20230331
423,리라마45.3,L43.HN,하노이 거래소,20230331,20230331
424,원커뮤니케이션,ONE.HN,하노이 거래소,20230331,20230331
425,비나코민꼽사우,TC6.HN,하노이 거래소,20230331,20230331
426,미래방직,KMR.HM,호치민 거래소,20230331,20230331
427,호앙 킴 테이 엔귀엔 그룹 JSC,CTC.HN,하노이 거래소,20230331,20230331
428,쿠롱가스운송,PCT.HN,하노이 거래소,20230331,20230331
429,전력건설컨설팅4,TV4.HN,하노이 거래소,20230331,20230331
430,베트남선,VNS.HM,호치민 거래소,20230331,20230331
431,타인 타이 그룹,KKC.HN,하노이 거래소,20230331,20230331
432,제1전기건설,VE1.HN,하노이 거래소,20230331,20230331
433,소나데지롱탄홀딩스,SZL.HM,호치민 거래소,20230331,20230331
434,탄푸플라스틱,TPP.HN,하노이 거래소,20230331,20230331
435,꾸롱제약,DCL.HM,호치민 거래소,20230331,20230331
436,비나코민하뜨,THT.HN,하노이 거래소,20230331,20230331
437,DIC 홀딩스 건설,DC4.HM,호치민 거래소,20230331,20230331
438,타이빈시멘트,TBX.HN,하노이 거래소,20230331,20230331
439,VNECO강철구조물,SSM.HN,하노이 거래소,20230331,20230331
440,리라마69.1,L61.HN,하노이 거래소,20230331,20230331
441,리젠,LCG.HM,호치민 거래소,20230331,20230331
442,깜란 포트,CCR.HN,하노이 거래소,20230331,20230331
443,탄호아맥주,THB.HN,하노이 거래소,20230331,20230331
