DB_NAME,DB_MARKET,NAME,DESC,MARKET
AEP_pc,없음,없음,없음,없음,
AEP,없음,AEP,아메리칸 일렉트릭 파워 컴퍼니,나스닥 증권거래소,
AEP_pb,없음,없음,없음,없음,
OPP_r,없음,없음,없음,없음,
BBX,없음,없음,없음,없음,
NWE,없음,NWE,노스웨스턴,나스닥 증권거래소,
SHLL_u,K,없음,없음,없음,
SHLL,K,없음,없음,없음,
LILAR,O,없음,없음,없음,
JFK,O,없음,없음,없음,
JFKKU,O,없음,없음,없음,
JFKKR,O,없음,없음,없음,
HHT,O,없음,없음,없음,
PRNB,O,없음,없음,없음,
BREW,O,없음,없음,없음,
INWK,O,없음,없음,없음,
MNTA,O,없음,없음,없음,
PDLIV,O,없음,없음,없음,
LNSRV,O,없음,없음,없음,
SCON,O,없음,없음,없음,
ASFI,O,없음,없음,없음,
PPEM,K,PPEM,Putnam PanAgora ESG Emerging Markets Equity ETF,아멕스 증권거래소,
PPLC,K,PPL,PPL Corp,뉴욕 거래소,
PPDM,K,없음,없음,없음,
PPMC,K,없음,없음,없음,
RWUI,K,없음,없음,없음,
RWIU,K,없음,없음,없음,
RWSL,K,없음,없음,없음,
RWLS,K,없음,없음,없음,
RWCD,K,없음,없음,없음,
RWED,K,없음,없음,없음,
RWDE,K,없음,없음,없음,
RWDC,K,없음,없음,없음,
XCOM,K,없음,없음,없음,
YCOM,K,없음,없음,없음,
TYBS,K,없음,없음,없음,
SMLL,K,없음,없음,없음,
GMO,없음,GMOM,Cambria Global Momentum ETF,아멕스 증권거래소,
DLPH,K,없음,없음,없음,
PFNX,K,없음,없음,없음,
PPSC,K,없음,없음,없음,
SCE_pb,없음,없음,없음,없음,
SCE_pc,없음,없음,없음,없음,
SCE_pd,없음,없음,없음,없음,
SCE_pe,없음,없음,없음,없음,
SERV,K,NOW,ServiceNow Inc,뉴욕 거래소,
ETFC,O,없음,없음,없음,
NBL,O,없음,없음,없음,
AMTD,O,AMTD,AMTD 아이디어 그룹 ADR,뉴욕 거래소,
ADRO,O,없음,없음,없음,
UMRX,O,없음,없음,없음,
FTV_w,없음,없음,없음,없음,
CCXX,K,없음,없음,없음,
FRC_pf,없음,없음,없음,없음,
VNT_w,없음,없음,없음,없음,
CCXX_u,K,없음,없음,없음,
VSLR,K,없음,없음,없음,
DNI,없음,없음,없음,없음,
AUG,없음,AUGX,Augmedix Inc,나스닥 증권거래소,
OAS,O,오아시스,OAS,빗썸,
SKYS,O,없음,없음,없음,
LONE,O,없음,없음,없음,
OTRAU,O,없음,없음,없음,
DCRBU,O,없음,없음,없음,
AKCA,O,없음,없음,없음,
MNK,없음,MNKD,맨카인드,나스닥 증권거래소,
TSU,없음,Tsui Wah Holdings Ltd,01314,홍콩 거래소,
EAE,없음,없음,없음,없음,
EAB,없음,BBLU,EA Bridgeway Blue Chip ETF,아멕스 증권거래소,
CETV,O,없음,없음,없음,
IPHI,K,없음,없음,없음,
AIMT,O,없음,없음,없음,
ONDK,K,없음,없음,없음,
SAQN,O,없음,없음,없음,
SAQNU,O,없음,없음,없음,
INSUU,O,없음,없음,없음,
INSU,O,PODD,Insulet Corp,나스닥 증권거래소,
CCCL,O,없음,없음,없음,
DLR_pg,없음,없음,없음,없음,
MACUU,O,없음,없음,없음,
RST,없음,RS Technologies Co Ltd,3445,도쿄 거래소,
FMCIU,O,없음,없음,없음,
FMCI,O,없음,없음,없음,
TIMB_w,K,없음,없음,없음,
BMCH,O,없음,없음,없음,
JPNL,K,없음,없음,없음,
WSTL,O,없음,없음,없음,
FTACU,O,없음,없음,없음,
FTAC,O,EMLD,FTAC 에메랄드 애퀴지션,나스닥 증권거래소,
ZMLP,K,없음,없음,없음,
TAWK,K,없음,없음,없음,
PASS,K,PASG,Passage Bio Inc,나스닥 증권거래소,
NEED,K,Needs Well Inc,3992,도쿄 거래소,
MUTE,K,없음,없음,없음,
LACK,K,없음,없음,없음,
KNOW,K,KN,Knowles Corp,뉴욕 거래소,
IBUY,O,IBUY,Amplify Online Retail ETF,아멕스 증권거래소,
SOJA,K,없음,없음,없음,
DZK,없음,없음,없음,없음,
BQH,없음,없음,없음,없음,
UMH_pb,없음,없음,없음,없음,
WRB_pb,없음,없음,없음,없음,
WINS,O,Winshine Science Co Ltd,00209,홍콩 거래소,
DTQ,없음,없음,없음,없음,
PRE_pf,없음,없음,없음,없음,
IMMU,O,IBRX,Immunitybio Inc,나스닥 증권거래소,
USDY,K,달러/예멘 리알,USDYER,국제시장환율,
CTZ,없음,없음,없음,없음,
IDY,없음,IDYA,아이디야 바이오사이언스,나스닥 증권거래소,
KDMN,K,없음,없음,없음,
DPHCU,O,없음,없음,없음,
DPHC,O,없음,없음,없음,
NEE_pi,없음,없음,없음,없음,
NEE_pj,없음,없음,없음,없음,
AI_pb,없음,없음,없음,없음,
AI_pc,없음,없음,없음,없음,
AI,없음,AI,C3.ai,뉴욕 거래소,
JHY,없음,없음,없음,없음,
ARYB,O,없음,없음,없음,
ARYBU,O,없음,없음,없음,
CPAAU,O,없음,없음,없음,
GARS,O,없음,없음,없음,
CPAA,O,없음,없음,없음,
TNP_pc,없음,없음,없음,없음,
SPAQ_u,K,없음,없음,없음,
SPAQ,K,SPAQ,Horizon Kinetics SPAC Active ETF,나스닥 증권거래소,
RISE,K,Risesun Real Estate Development Co Ltd Class A,002146,심천(선강퉁) 증권거래소,
DIVC,K,없음,없음,없음,
FAUS,K,없음,없음,없음,
DJPY,K,없음,없음,없음,
MLPC,K,없음,없음,없음,
LVGO,O,없음,없음,없음,
MLPE,K,없음,없음,없음,
DCHF,K,없음,없음,없음,
DAUD,K,없음,없음,없음,
ADSW,K,없음,없음,없음,
FCAN,O,없음,없음,없음,
DGBP,K,없음,없음,없음,
DEUR,K,없음,없음,없음,
FKO,O,없음,없음,없음,
EZT,없음,없음,없음,없음,
FHK,O,없음,없음,없음,
ACT,O,ACT,인액트 홀딩스,나스닥 증권거래소,
HCCO,O,없음,없음,없음,
UAUD,K,없음,없음,없음,
HTZ,없음,HTZ,허츠 글로벌 홀딩스,나스닥 증권거래소,
UCHF,K,없음,없음,없음,
UEUR,K,없음,없음,없음,
UGBP,K,없음,없음,없음,
UJPY,K,없음,없음,없음,
HCCOU,O,없음,없음,없음,
CBL,없음,CBL,CBL & 어소시에이츠 프로퍼티스,뉴욕 거래소,
CBL_pd,없음,없음,없음,없음,
CBL_pe,없음,없음,없음,없음,
APEX,O,Apex Ace Holding Ltd,06036,홍콩 거래소,
BITA,K,없음,없음,없음,
RIV_r,없음,없음,없음,없음,
GFIN,K,없음,없음,없음,
GDAT,K,없음,없음,없음,
JCAP,K,없음,없음,없음,
JCAP_pb,K,없음,없음,없음,
KBLMU,O,없음,없음,없음,
KBLMR,O,없음,없음,없음,
GBUY,K,GBUY,Goldman Sachs Future Consumer Equity ETF,아멕스 증권거래소,
GMAN,K,없음,없음,없음,
GDNA,K,없음,없음,없음,
KBLM,O,없음,없음,없음,
TRWH,K,없음,없음,없음,
REXN,O,없음,없음,없음,
PACD,K,없음,없음,없음,
NWGI,O,없음,없음,없음,
NFIN,O,없음,없음,없음,
NFINU,O,없음,없음,없음,
EDNT,O,없음,없음,없음,
GRAM,K,없음,없음,없음,
WMGI,O,없음,없음,없음,
TEUM,O,없음,없음,없음,
QVM,없음,QVML,Invesco S&P 500 QVM Multi factor ETF,아멕스 증권거래소,
TBND,K,없음,없음,없음,
INAB,O,INAB,인8바이오,나스닥 증권거래소,
IKT,O,IKT,인히비케이즈 테라퓨틱스,나스닥 증권거래소,
HEBT,O,없음,없음,없음,
AXGT,O,없음,없음,없음,
MR,없음,COOP,Mr Cooper Group Inc,나스닥 증권거래소,
AMAG,O,Amagasa Co Ltd,3070,도쿄 거래소,
VTRSV,O,없음,없음,없음,
CGC,없음,CGC,캐노피 그로스,나스닥 증권거래소,
AFGH,K,없음,없음,없음,
BMRG_u,K,없음,없음,없음,
BMRG,K,없음,없음,없음,
PFE_w,없음,없음,없음,없음,
MYL,O,없음,없음,없음,
ORSN,O,없음,없음,없음,
MYOK,O,없음,없음,없음,
CFFA,O,없음,없음,없음,
MYOS,O,없음,없음,없음,
CFFAU,O,없음,없음,없음,
FVAC,K,없음,없음,없음,
ORSNU,O,없음,없음,없음,
FVAC_u,K,없음,없음,없음,
ORSNR,O,없음,없음,없음,
RTRX,O,없음,없음,없음,
TTTN,O,없음,없음,없음,
YGYIP,O,없음,없음,없음,
YGYI,O,없음,없음,없음,
YIN,O,YINN,Direxion Daily FTSE China Bull 3x Shares,아멕스 증권거래소,
VIV,없음,VIV,텔레포니카 브라질 ADR,뉴욕 거래소,
LGC,없음,LGC,CII인프라투자,호치민 거래소,
TLI,없음,TLIS,탈리스 바이오메디컬,나스닥 증권거래소,
GFY,없음,없음,없음,없음,
SDYL,K,없음,없음,없음,
LGC_u,없음,없음,없음,없음,
SBPH,O,없음,없음,없음,
FORK,O,없음,없음,없음,
MLPG,K,없음,없음,없음,
AMU,없음,AMUB,UBS ETRACS Alerian MLP Index ETN Series B due 18 July 2042,아멕스 증권거래소,
MLPI,K,없음,없음,없음,
GSH,없음,GSHD,구스헤드 인슈어런스,나스닥 증권거래소,
GPOR,O,GPOR,걸프포트 에너지,뉴욕 거래소,
BDCS,K,없음,없음,없음,
KCAC_u,K,없음,없음,없음,
KCAC,K,KCAC,켄싱턴 캐피탈 애퀴지션 II Class A,뉴욕 거래소,
VIV_w,없음,없음,없음,없음,
SNX_w,없음,없음,없음,없음,
PRG_w,없음,없음,없음,없음,
COF_pf,없음,없음,없음,없음,
MOBL,O,없음,없음,없음,
HUD,없음,HBM,Hudbay Minerals Inc,뉴욕 거래소,
WRTC,O,없음,없음,없음,
SNBP,O,없음,없음,없음,
CNXCV,O,없음,없음,없음,
AAN_w,없음,없음,없음,없음,
NTRP,O,없음,없음,없음,
BSTC,O,없음,없음,없음,
GMHIU,O,없음,없음,없음,
GMHI,O,없음,없음,없음,
BUY,없음,BUYW,Main BuyWrite ETF,아멕스 증권거래소,
BTE,없음,BTE,배이텍스 에너지,뉴욕 거래소,
SAN_pb,없음,없음,없음,없음,
GWACU,O,없음,없음,없음,
JCICU,O,없음,없음,없음,
GHVIU,O,없음,없음,없음,
GMVD,O,없음,없음,없음,
MVNR,O,없음,없음,없음,
AUUD,O,AUUD,아우디아,나스닥 증권거래소,
KINZU,O,없음,없음,없음,
SPEL,O,없음,없음,없음,
HST,없음,HST,호스트 호텔스 & 리조트,나스닥 증권거래소,
MCX,없음,없음,없음,없음,
HCARU,O,없음,없음,없음,
ASPI,K,ASPI,ASP 아이소토프,나스닥 증권거래소,
CMPX,O,CMPX,컴퍼스 테라퓨틱스,나스닥 증권거래소,
RIV_r_w,없음,없음,없음,없음,
KGJI,O,없음,없음,없음,
DMPI,O,없음,없음,없음,
HSPX,K,없음,없음,없음,
TBLU,K,없음,없음,없음,
SCID,K,없음,없음,없음,
SCIX,K,없음,없음,없음,
SCIU,K,없음,없음,없음,
SCIJ,K,S99,SCI JSC,하노이 거래소,
SOIL,K,없음,없음,없음,
PACQ,O,없음,없음,없음,
PACQU,O,없음,없음,없음,
SMRT,O,SMRT,스마트렌트,뉴욕 거래소,
LMHA,K,없음,없음,없음,
LMHB,K,없음,없음,없음,
SWBIV,O,없음,없음,없음,
AOUTV,O,없음,없음,없음,
BCTF,O,없음,없음,없음,
SPWRV,O,없음,없음,없음,
MAXNV,O,없음,없음,없음,
MBSD,O,MBSD,FlexShares Disciplined Duration MBS Index Fund ETF,아멕스 증권거래소,
MXDE,K,없음,없음,없음,
PLCY,K,없음,없음,없음,
TAPR,K,없음,없음,없음,
MVIN,K,없음,없음,없음,
BTYS,K,없음,없음,없음,
FUD,없음,Fudo Tetra Corp,1813,도쿄 거래소,
USV,없음,USVT,US Value ETF,아멕스 증권거래소,
UAG,없음,없음,없음,없음,
LMLB,K,없음,없음,없음,
DJCI,K,없음,없음,없음,
TRNE_u,K,없음,없음,없음,
ADOCU,O,없음,없음,없음,
BDCY,K,없음,없음,없음,
TVACU,O,없음,없음,없음,
UBG,없음,없음,없음,없음,
TRNE,K,없음,없음,없음,
UCI,없음,UCIB,UBS ETRACS Bloomberg Constant Maturity Commodity Index CMCI TR ETN Series B,아멕스 증권거래소,
FIYY,K,없음,없음,없음,
SSWA,K,없음,없음,없음,
HCCH,O,없음,없음,없음,
FLEU,K,FLEU,Franklin FTSE Eurozone ETF,아멕스 증권거래소,
FFEU,K,없음,없음,없음,
HCCHR,O,없음,없음,없음,
HCCHU,O,없음,없음,없음,
FVL,없음,없음,없음,없음,
PLC,O,PLC,페트롤리멕스석화,하노이 거래소,
PAGP,K,PAGP,Plains GP Holdings Limited Partner Interests Units Class A,나스닥 증권거래소,
PSM,O,PSMT,프라이스스마트,나스닥 증권거래소,
CTY,없음,없음,없음,없음,
CHEP,K,없음,없음,없음,
TZACU,O,없음,없음,없음,
FRAN,O,BEN,Franklin Resources Inc,뉴욕 거래소,
