RIC,MAX(ACCOUNT_DATE)
6680.HK         ,20221231
6909.HK         ,20221231
1941.HK         ,20221231
9658.HK         ,20221231
2078.HK         ,20221231
9858.HK         ,20221231
3322.HK         ,20221231
2518.HK         ,20230331
2660.HK         ,20221231
6696.HK         ,20221231
0311.HK         ,20221231
2115.HK         ,20221231
6929.HK         ,20221231
1747.HK         ,20221231
6968.HK         ,20221231
1433.HK         ,20221231
1097.HK         ,20221231
3603.HK         ,20221231
9983.HK         ,20221231
2015.HK         ,20230331
1228.HK         ,20221231
1951.HK         ,20221231
6638.HK         ,20230331
8039.HK         ,20221231
1795.HK         ,20221231
1971.HK         ,20221231
1477.HK         ,20221231
9886.HK         ,20221231
1817.HK         ,20221231
2120.HK         ,20221231
1025.HK         ,20220930
1952.HK         ,20221231
2279.HK         ,20221231
9888.HK         ,20230331
2439.HK         ,20221231
2137.HK         ,20221231
2108.HK         ,20221231
1960.HK         ,20221231
2297.HK         ,20221231
2237.HK         ,20221231
3681.HK         ,20221231
2110.HK         ,20221130
9633.HK         ,20221231
6639.HK         ,20220930
2117.HK         ,20220630
6820.HK         ,20221231
8087.HK         ,20230331
6668.HK         ,20221231
9608.HK         ,20221231
2209.HK         ,20221231
1965.HK         ,20221231
9863.HK         ,20221231
0899.HK         ,20220930
1759.HK         ,20221231
3393.HK         ,20221231
9966.HK         ,20221231
3390.HK         ,20221231
6622.HK         ,20221231
1156.HK         ,20221231
9982.HK         ,20221231
1463.HK         ,20221231
2167.HK         ,20221231
2148.HK         ,20221231
1490.HK         ,20221231
2057.HK         ,20230331
9968.HK         ,20220630
0587.HK         ,20221231
6913.HK         ,20221231
AMGN.O          ,20230331
6078.HK         ,20221231
2422.HK         ,20221231
0368.HK         ,20221231
2772.HK         ,20221231
2191.HK         ,20221231
1667.HK         ,20220930
2295.HK         ,20221231
1516.HK         ,20221231
6805.HK         ,20221231
6601.HK         ,20221231
9857.HK         ,20221231
0060.HK         ,20220930
2361.HK         ,20221231
9699.HK         ,20221231
6699.HK         ,20221231
3316.HK         ,20221231
1769.HK         ,20221231
2161.HK         ,20230331
1283.HK         ,20220930
7836.HK         ,20221231
6996.HK         ,20221231
6609.HK         ,20221231
1745.HK         ,20221231
1901.HK         ,20221231
1413.HK         ,20220930
1917.HK         ,20221231
2251.HK         ,20221231
6969.HK         ,20221231
2197.HK         ,20221231
9986.HK         ,20220630
6900.HK         ,20221231
6623.HK         ,20230331
1650.HK         ,20221231
2163.HK         ,20221231
1981.HK         ,20221231
6955.HK         ,20221231
1204.HK         ,20221231
9869.HK         ,20221231
1897.HK         ,20230331
6666.HK         ,20221231
1163.HK         ,20221231
0055.HK         ,20221231
9939.HK         ,20221231
2135.HK         ,20221231
1940.HK         ,20221231
1442.HK         ,20221231
2386.HK         ,20221231
6610.HK         ,20221231
AMAT.O          ,20230430
9928.HK         ,20221231
9989.HK         ,20221231
1942.HK         ,20221231
1429.HK         ,20220930
6821.HK         ,20230331
1847.HK         ,20221231
1821.HK         ,20221231
6690.HK         ,20221231
9996.HK         ,20221231
0854.HK         ,20230331
9896.HK         ,20230331
2469.HK         ,20221231
1930.HK         ,20221231
9969.HK         ,20221231
1961.HK         ,20221231
2168.HK         ,20221231
2528.HK         ,20221231
1859.HK         ,20220630
9998.HK         ,20221231
8147.HK         ,20230331
2060.HK         ,20221231
2101.HK         ,20221231
2402.HK         ,20230331
9933.HK         ,20221231
0980.HK         ,20221231
1217.HK         ,20221231
2256.HK         ,20221231
1563.HK         ,20221231
1244.HK         ,20221231
2442.HK         ,20220630
2147.HK         ,20221231
8659.HK         ,20230331
1950.HK         ,20221231
2487.HK         ,20221231
2500.HK         ,20221231
2152.HK         ,20211231
1645.HK         ,20221231
2411.HK         ,20221231
9600.HK         ,20221231
2618.HK         ,20230331
6819.HK         ,20221231
6918.HK         ,20220630
6919.HK         ,20221231
2216.HK         ,20221231
1199.HK         ,20230331
1860.HK         ,20230331
1115.HK         ,20221231
0589.HK         ,20221231
1675.HK         ,20221231
3759.HK         ,20221231
2270.HK         ,20221231
2170.HK         ,20221231
1937.HK         ,20221231
1502.HK         ,20221231
1593.HK         ,20230228
1959.HK         ,20221231
1425.HK         ,20221231
9911.HK         ,20221231
601868.SS       ,20230331
9955.HK         ,20221231
6127.HK         ,20221231
2291.HK         ,20221231
2480.HK         ,20221231
6063.HK         ,20220930
2869.HK         ,20221231
3928.HK         ,20230331
2321.HK         ,20221231
1601.HK         ,20221231
8500.HK         ,20230331
6939.HK         ,20221231
6611.HK         ,20221231
6998.HK         ,20221231
6993.HK         ,20221231
2246.HK         ,20221231
1134.HK         ,20221231
1949.HK         ,20221231
1955.HK         ,20220930
2450.HK         ,20221231
9918.HK         ,20221231
1832.HK         ,20221231
6661.HK         ,20221231
6933.HK         ,20221231
2130.HK         ,20221231
2185.HK         ,20221231
2096.HK         ,20221231
1921.HK         ,20221231
2239.HK         ,20221231
2127.HK         ,20221231
1846.HK         ,20221231
9923.HK         ,20221231
1683.HK         ,20221231
2367.HK         ,20221231
6806.HK         ,20221231
0909.HK         ,20221231
2350.HK         ,20220930
9616.HK         ,20221231
9958.HK         ,20221231
2145.HK         ,20221231
6193.HK         ,20221231
0382.HK         ,20230228
2418.HK         ,20221231
1024.HK         ,20230331
1542.HK         ,20221231
0474.HK         ,20220930
1426.HK         ,20221231
9666.HK         ,20221231
1553.HK         ,20221231
0092.HK         ,20221231
2162.HK         ,20221231
1179.HK         ,20230331
