RIC,MAX(ACCOUNT_DATE)
SDN.HN          ,20230331
DNP.HN          ,20230331
VID.HM          ,20230331
VNC.HN          ,20230331
VGP.HN          ,20230331
GMC.HM          ,20230331
RCL.HN          ,20230331
VTV.HN          ,20230331
LGC.HM          ,20230331
TCT.HM          ,20230331
GTA.HM          ,20230331
BCG.HM          ,20230331
TRC.HM          ,20230331
BVH.HM          ,20230331
SVI.HM          ,20230331
VNE.HM          ,20230331
BTP.HM          ,20230331
PVI.HN          ,20230331
AGM.HM          ,20230331
TNC.HM          ,20230331
HQC.HM          ,20230331
ACL.HM          ,20230331
TTF.HM          ,20230331
VIC.HM          ,20230331
HGM.HN          ,20230331
PVS.HN          ,20230331
WSS.HN          ,20221231
DBT.HM          ,20230331
THI.HM          ,20221231
SRF.HM          ,20230331
SD4.HN          ,20230331
TSC.HM          ,20230331
HDC.HM          ,20230331
CMV.HM          ,20230331
KDM.HN          ,20230331
VTO.HM          ,20221231
NBB.HM          ,20230331
SC5.HM          ,20230331
TCM.HM          ,20230331
ASM.HM          ,20230331
MDC.HN          ,20230331
HLC.HN          ,20230331
TIP.HM          ,20230331
CDC.HM          ,20230331
DPM.HM          ,20230331
HSG.HM          ,20230331
UIC.HM          ,20230331
DIG.HM          ,20230331
CTP.HN          ,20230331
PVC.HN          ,20230331
HHC.HN          ,20230331
HOM.HN          ,20230331
TNG.HN          ,20230331
VDL.HN          ,20221231
TPC.HM          ,20230331
HCT.HN          ,20230331
CTT.HN          ,20230331
PVT.HM          ,20230331
SPI.HN          ,20230331
ANV.HM          ,20230331
HVX.HM          ,20230331
NTL.HM          ,20230331
CLW.HM          ,20230331
HEV.HN          ,20230331
VCB.HM          ,20230331
TJC.HN          ,20230331
ST8.HM          ,20230331
L10.HM          ,20230331
KBC.HM          ,20230331
HCC.HN          ,20230331
SGN.HM          ,20230331
PDN.HM          ,20230331
VSC.HM          ,20230331
CAP.HN          ,20230331
BST.HN          ,20230331
LHG.HM          ,20230331
PIT.HM          ,20230331
SRA.HN          ,20230331
VC6.HN          ,20230331
ASP.HM          ,20230331
DQC.HM          ,20230331
LBE.HN          ,20230331
SBT.HM          ,20230331
FIT.HM          ,20230331
DBC.HM          ,20230331
HUT.HN          ,20230331
L62.HN          ,20230331
L18.HN          ,20230331
DSN.HM          ,20230331
L43.HN          ,20230331
ONE.HN          ,20230331
TC6.HN          ,20230331
KMR.HM          ,20230331
CTC.HN          ,20230331
PCT.HN          ,20230331
TV4.HN          ,20230331
VNS.HM          ,20230331
KKC.HN          ,20230331
VE1.HN          ,20230331
SZL.HM          ,20230331
TPP.HN          ,20230331
DCL.HM          ,20230331
THT.HN          ,20230331
DC4.HM          ,20230331
TBX.HN          ,20230331
SSM.HN          ,20230331
L61.HN          ,20230331
LCG.HM          ,20230331
CCR.HN          ,20230331
THB.HN          ,20230331
TDN.HN          ,20230331
MED.HN          ,20230331
TRA.HM          ,20230331
MKV.HN          ,20230331
DHT.HN          ,20230331
VGS.HN          ,20230331
QTC.HN          ,20230331
VCC.HN          ,20230331
DL1.HN          ,20230331
QST.HN          ,20230331
PNJ.HM          ,20230331
HVT.HN          ,20230331
HCM.HM          ,20230331
VC1.HN          ,20230331
DZM.HN          ,20230331
SHS.HN          ,20230331
LHC.HN          ,20230331
D2D.HM          ,20230331
DHC.HM          ,20230331
CTG.HM          ,20230331
AAM.HM          ,20230331
NBP.HN          ,20230331
CTS.HM          ,20230331
EID.HN          ,20230331
CSM.HM          ,20230331
VNT.HN          ,20230331
PHR.HM          ,20230331
VNL.HM          ,20230331
SED.HN          ,20230331
DAD.HN          ,20230331
VPH.HM          ,20230331
NAG.HN          ,20230331
SDU.HN          ,20230331
PMC.HN          ,20230331
ITC.HM          ,20230331
PTD.HN          ,20230331
SRC.HM          ,20230331
VIT.HN          ,20230331
LGL.HM          ,20230331
TV2.HM          ,20230331
BED.HN          ,20230331
GLT.HN          ,20230331
HAD.HN          ,20230331
TMX.HN          ,20230331
AMV.HN          ,20230331
ATS.HN          ,20230331
VC9.HN          ,20230331
CSC.HN          ,20230331
MSN.HM          ,20230331
VMS.HN          ,20230331
PHC.HM          ,20230331
GDT.HM          ,20230331
BXH.HN          ,20230331
TV3.HN          ,20230331
TIX.HM          ,20230331
PGD.HM          ,20230331
MHL.HN          ,20220930
DVP.HM          ,20230331
KSV.HN          ,20221231
VIG.HN          ,20230331
TKC.HN          ,20221231
ITD.HM          ,20230331
LIX.HM          ,20230331
AGR.HM          ,20230331
VNG.HM          ,20221231
OGC.HM          ,20230331
DNC.HN          ,20230331
VFG.HM          ,20230331
SHN.HN          ,20230331
DXG.HM          ,20230331
TCL.HM          ,20230331
MAC.HN          ,20230331
PGT.HN          ,20230331
CTD.HM          ,20230331
SHI.HM          ,20230331
KSB.HM          ,20230331
VIX.HM          ,20230331
V12.HN          ,20230331
FDC.HM          ,20230331
BDB.HN          ,20230331
HTI.HM          ,20230331
CMG.HM          ,20230331
CPC.HN          ,20230331
INN.HN          ,20230331
TMT.HM          ,20230331
HDG.HM          ,20230331
KDH.HM          ,20230331
APC.HM          ,20230331
TLG.HM          ,20230331
VBC.HN          ,20221231
STG.HM          ,20230331
CKV.HN          ,20230331
TLH.HM          ,20230331
QHD.HN          ,20230331
DAG.HM          ,20230331
VND.HM          ,20230331
PVB.HN          ,20230331
BTT.HM          ,20230331
APG.HM          ,20230331
LIG.HN          ,20230331
APS.HN          ,20230331
SLS.HN          ,20230331
IJC.HM          ,20230331
CCI.HM          ,20230331
NAF.HM          ,20230331
TET.HN          ,20221231
V21.HN          ,20230331
POM.HM          ,20230331
CHP.HM          ,20230331
HTC.HN          ,20230331
TDC.HM          ,20230331
PTL.HM          ,20230331
MCC.HN          ,20230331
KSD.HN          ,20230331
TVC.HN          ,20230331
NVT.HM          ,20230331
VCM.HN          ,20230331
VDS.HM          ,20230331
PPP.HN          ,20230331
FCM.HM          ,20230331
KMT.HN          ,20230331
TCO.HM          ,20230331
API.HN          ,20230331
MCF.HN          ,20230331
ACC.HM          ,20221231
NT2.HM          ,20230331
BTW.HN          ,20230331
PSD.HN          ,20230331
CX8.HN          ,20230331
SPM.HM          ,20221231
ELC.HM          ,20230331
TNT.HM          ,20230331
HU1.HM          ,20230331
IDV.HN          ,20230331
AME.HN          ,20230331
SBA.HM          ,20230331
SMT.HN          ,20230331
DTL.HM          ,20230331
MAS.HN          ,20230331
DLG.HM          ,20230331
NNC.HM          ,20221231
BCE.HM          ,20230331
VE3.HN          ,20230331
DC2.HN          ,20230331
BSI.HM          ,20230331
NHA.HM          ,20221231
JVC.HM          ,20221231
HBS.HN          ,20230331
ORS.HM          ,20230331
AAA.HM          ,20230331
LDP.HN          ,20230331
PSI.HN          ,20230331
VRC.HM          ,20230331
HMH.HN          ,20230331
CLH.HN          ,20230331
VE2.HN          ,20230331
