RIC	MAX(ACCOUNT_DATE)
ARC             	20230331
ARCB.O          	20230331
ARCC.O          	20230331
ARCE.O          	20230331
ARCH.K          	20230331
ARCO.K          	20230331
ARCT.O          	20230331
ARDC.K          	20221231
ARDS.O          	20230331
ARDX.O          	20230331
ARE             	20230331
AREB.O          	20230331
AREC.O          	20230331
AREN.K          	20230331
ARES.K          	20230331
ARGO.K          	20230331
ARGX.O          	20230331
ARHS.O          	20230331
ARI             	20230331
ARIS.K          	20230331
ARIZ.O          	20230331
ARKO.O          	20230331
ARKR.O          	20230401
ARL             	20230331
ARLO.K          	20230402
ARLP.O          	20230331
ARMK.K          	20230331
ARMP.K          	20230331
ARNC.K          	20230331
AROC.K          	20230331
AROW.O          	20221231
ARQQ.O          	20230331
ARQT.O          	20230331
ARR             	20230331
ARRW.O          	20230331
ARRY.O          	20230331
ARTE.O          	20230331
ARTL.O          	20230331
ARTNA.O         	20230331
ARTW.O          	20230228
ARVL.O          	20220630
ARVN.O          	20230331
ARW             	20230401
ARWR.O          	20230331
ARYD.O          	20230331
ARYE.O          	20230331
ASA             	20221130
ASAI.K          	20230331
ASAN.K          	20230430
ASB             	20230331
ASC             	20230331
ASCA.O          	20230331
ASCB.O          	20230331
ASGI.K          	20230331
ASGN.K          	20230331
ASH             	20230331
ASIX.K          	20230331
ASLE.O          	20221231
ASLN.O          	20220331
ASM             	20230331
ASMB.O          	20230331
ASML.O          	20230402
ASND.O          	20230331
ASNS.O          	20230331
ASO.O           	20230429
ASPA.O          	20230331
ASPG.O          	20210630
ASPI.O          	20230331
ASPN.K          	20230331
ASPS.O          	20230331
ASR             	20230331
ASRT.O          	20230331
ASRV.O          	20230331
ASST.O          	20230331
ASTC.O          	20230331
ASTE.O          	20230331
ASTI.O          	20230331
ASTL.O          	20221231
ASTR.O          	20230331
ASTS.O          	20230331
ASUR.O          	20230331
ASX             	20230331
ASXC.K          	20230331
ASYS.O          	20230331
ATAI.O          	20230331
ATAK.O          	20230331
ATAQ.K          	20230331
ATAT.O          	20230331
ATEC.O          	20230331
ATEK.K          	20230331
ATEN.K          	20230331
ATER.O          	20230331
ATEX.O          	20230331
ATGE.K          	20230331
ATHA.O          	20230331
ATHE.O          	20221231
ATHM.K          	20230331
ATHX.O          	20230331
ATI             	20230331
ATIF.O          	20230131
ATIP.K          	20230331
ATKR.K          	20230331
ATLC.O          	20230331
ATLO.O          	20230331
ATLX.O          	20230331
ATMC.O          	20230331
ATMU.K          	20230331
ATMV.O          	20230331
ATNF.O          	20230331
ATNI.O          	20230331
ATNM.K          	20230331
ATO             	20230331
ATOM.O          	20230331
ATOS.O          	20230331
ATR             	20230331
ATRA.O          	20230331
ATRC.O          	20230331
ATRI.O          	20230331
ATRO.O          	20230401
ATS.TO          	20230331
ATSG.O          	20230331
ATTO.K          	20220930
ATUS.K          	20230331
ATVI.O          	20230331
ATXG.O          	20221231
ATXI.O          	20230331
ATXS.O          	20230331
AU              	20221231
AUB             	20230331
AUBN.O          	20230331
AUDC.O          	20230331
AUGX.O          	20230331
AUID.O          	20230331
AULT.K          	20230331
AUMN.K          	20230331
AUPH.O          	20230331
AUR.O           	20230331
AURA.O          	20230331
AURC.O          	20230331
AUST.K          	20221231
AUTH.K          	20210331
AUTL.O          	20230331
AUUD.O          	20221231
AUVI.O          	20230331
AVA             	20230331
AVAH.O          	20230401
AVAL.K          	20230331
AVAV.O          	20230128
AVB             	20230331
AVD             	20230331
