i,코드,상품명,거래소,error
1749,PJT,Invesco Dynamic Pharmaceuticals ETF,아멕스 증권거래소,unknown error
1752,PK,파크 호텔 & 리조트,뉴욕 거래소,not etf
1753,PKB,PK,,Timeout
1755,PKX,포스코 홀딩스 ADR,뉴욕 거래소,not etf
1757,PLG,플래티넘 그룹 메탈스,아멕스 증권거래소,not etf
1758,PLL,Piedmont Lithium Inc,나스닥 증권거래소,not etf
1759,PLM,폴리멧 마이닝,아멕스 증권거래소,not etf
1760,PLMI,플럼 애퀴지션 I,나스닥 증권거래소,not etf
1762,PLRX,플리언트 테라퓨틱스,나스닥 증권거래소,not etf
1766,PLX,프로탈릭스 바이오테라퓨틱스,아멕스 증권거래소,not etf
1767,PLXS,플렉서스,나스닥 증권거래소,not etf
1770,PNR,펜테어,뉴욕 거래소,not etf
1771,PNRG,PNR,,unknown error
1772,PNT,펜테어,코스닥,not etf
1779,PPIH,퍼마-파이프 인터내셔널 홀딩스,나스닥 증권거래소,not etf
1781,PR,페르미안 리소시스,뉴욕 거래소,not etf
1783,PRFT,퍼피션트,나스닥 증권거래소,not etf
1786,PRO,프로스 홀딩스,뉴욕 거래소,not etf
1802,PSF,Cohen & Steers Select Preferred and Income Fd Inc,뉴욕 거래소,not etf
1805,PSHG,퍼포먼스 쉬핑,나스닥 증권거래소,not etf
1818,PSMT,프라이스스마트,나스닥 증권거래소,not etf
1821,PSR,PSQ,,unknown error
1824,PTGX,프로타고니스트 테라퓨틱스,나스닥 증권거래소,not etf
1829,PUK,,,unknown error
1831,PUMP,프로페트로 홀딩,뉴욕 거래소,not etf
1833,PVBC,프로비던트 뱅코프,나스닥 증권거래소,not etf
1837,PWSC,파워스쿨 홀딩스,뉴욕 거래소,not etf
1845,PXLW,픽셀웍스,나스닥 증권거래소,not etf
1846,PY,픽셀웍스,나스닥 증권거래소,unknown error
1847,PYN,PIMCO New York Municipal Income Fund III,뉴욕 거래소,not etf
1853,QBTS,D-웨이브 퀀텀,뉴욕 거래소,not etf
1865,QMCO,퀀텀,나스닥 증권거래소,not etf
1867,QNCX,퀸스 테라퓨틱스,나스닥 증권거래소,not etf
1877,QRHC,퀘스트 리소스 홀딩,나스닥 증권거래소,not etf
1885,QTRX,퀀테릭스,나스닥 증권거래소,not etf
1887,QTWO,Q2 홀딩스,뉴욕 거래소,not etf
1892,QVOY,Invesco S&P SmallCap 600 QVM Multi-factor ETF,아멕스 증권거래소,unknown error
1898,R,라이더 시스템,뉴욕 거래소,not etf
1899,RATE,라이더 시스템,뉴욕 거래소,unknown error
1900,RAVE,레이브 레스토랑 그룹,나스닥 증권거래소,not etf
1922,RFI,Cohen Steers Total Return Realty Closed Fund,뉴욕 거래소,not etf
1924,RHE,리져널 헬스 프로퍼티,아멕스 증권거래소,not etf
1927,RIBT,라이스브랜 테크놀로지스,나스닥 증권거래소,not etf
1938,ROC,ROC 에너지 애퀴지션,나스닥 증권거래소,not etf
1940,ROCK,지브롤터 인더스트리스,나스닥 증권거래소,not etf
1945,ROVR,로버 그룹,나스닥 증권거래소,not etf
1948,RPHM,리네오 파마슈티컬스,나스닥 증권거래소,not etf
1962,RSPU,Invesco S&P 500 Eql Wght Technology ETF,아멕스 증권거래소,unknown error
1964,RSSS,리서치 솔루션스,나스닥 증권거래소,not etf
1969,RWT,레드우드 트러스트,뉴욕 거래소,not etf
1972,RXDX,프로메테우스 바이오사이언시스,나스닥 증권거래소,not etf
1979,RYTM,리듬 파머수티컬스,나스닥 증권거래소,not etf
1980,RZG,RYTM,,Timeout
1993,SCHL,스콜라스틱,나스닥 증권거래소,not etf
1995,SCHN,슈니처 스틸 인더스트리스,나스닥 증권거래소,not etf
2001,SCHW,찰스 슈왑,뉴욕 거래소,not etf
2008,SCRM,스크리밍 이글 애퀴지션,나스닥 증권거래소,not etf
2010,SD,샌드리지 에너지,뉴욕 거래소,not etf
2018,SE,씨 ADR,뉴욕 거래소,not etf
2020,SEAC,씨체인지 인터내셔널,나스닥 증권거래소,not etf
2027,SELB,셀렉타 바이오사이언스,나스닥 증권거래소,not etf
2030,SFLR,SETM,,unknown error
2033,SFYX,SoFi Social 50 ETF,아멕스 증권거래소,unknown error
2034,SGDJ,,,unknown error
2045,SHYF,시프트그룹,나스닥 증권거래소,not etf
2058,SJ,사이언조이 홀딩,나스닥 증권거래소,not etf
2060,SJT,San Juan Basin Royalty Units,뉴욕 거래소,not etf
2069,SMDY,SMDV,,unknown error
2075,SMP,스탠다드 모터 프로덕츠,뉴욕 거래소,not etf
2083,SOYB,SOXX,,Timeout
2087,SPCB,슈퍼컴,나스닥 증권거래소,not etf
2101,SPIB,SPHY,,unknown error
2103,SPIR,스파이어 글로벌,뉴욕 거래소,not etf
2111,SPNS,Invesco S&P 500 Minimum Variance ETF,나스닥 증권거래소,not etf
2117,SPTN,스파르탄내시,나스닥 증권거래소,not etf
2125,SPXS,,,unknown error
2134,SRI,스톤리지,뉴욕 거래소,not etf
2144,SSY,썬링크 헬스 시스템즈,아멕스 증권거래소,not etf
2148,STIX,시맨틱스,나스닥 증권거래소,not etf
2152,STNE,스톤코,나스닥 증권거래소,not etf
2155,STRW,스트로베리 필드 리츠,아멕스 증권거래소,not etf
2175,SYM,심보틱,나스닥 증권거래소,not etf
2178,TACT,트랜스액트 테크놀로지스,나스닥 증권거래소,not etf
2196,TGNA,테그나,뉴욕 거래소,not etf
2198,TGS,TGS ADR,뉴욕 거래소,not etf
2200,THD,THCX,,unknown error
2202,THO,소어 인더스트리스,뉴욕 거래소,not etf
2209,TIO,팅고 그룹,나스닥 증권거래소,not etf
2211,TIPT,팁트리,나스닥 증권거래소,not etf
2236,TPST,템피스트 테라퓨틱스,나스닥 증권거래소,not etf
2241,TRS,트리마스,나스닥 증권거래소,not etf
2254,TTC,토로,뉴욕 거래소,not etf
2260,TWI,타이탄 인터내셔널,뉴욕 거래소,not etf
2261,TYD,TWI,,Timeout
2262,TYG,Tortoise Energy Infrastructure Closed Fund,뉴욕 거래소,not etf
2265,TYRA,타이라 바이오사이언시스,나스닥 증권거래소,not etf
2271,UAVS,,,unknown error
2279,UFPI,UFP 인더스트리,나스닥 증권거래소,not etf
2293,UONE,어반 원 Class A,나스닥 증권거래소,not etf
2295,UPBD,업바운드 그룹,나스닥 증권거래소,not etf
2297,UPWK,업워크,나스닥 증권거래소,not etf
2299,UROY,우라늄 로열티,나스닥 증권거래소,not etf
2317,UTAA,유티에이 애퀴지션,나스닥 증권거래소,not etf
2324,UVSP,유니베스트 파이낸셜,나스닥 증권거래소,not etf
2340,VECO,비코 인스트루먼츠,나스닥 증권거래소,not etf
