RIC,MAX(ACCOUNT_DATE)
2282.T          ,20230331
5202.T          ,20230331
3105.T          ,20230331
3374.T          ,20230331
6471.T          ,20230331
7186.T          ,20230331
9101.T          ,20230331
6703.T          ,20230331
2501.T          ,20230331
8136.T          ,20230331
4063.T          ,20230331
1928.T          ,20230430
7701.T          ,20230331
2883.T          ,20230331
9076.T          ,20230331
2469.T          ,20230331
1802.T          ,20230331
5831.T          ,20230331
8053.T          ,20230331
9502.T          ,20230331
5713.T          ,20230331
1911.T          ,20230331
7269.T          ,20230331
6367.T          ,20230331
4042.T          ,20230331
6022.T          ,20230331
5938.T          ,20230331
6902.T          ,20230331
8601.T          ,20230331
9613.T          ,20230331
9531.T          ,20230331
5401.T          ,20230331
7733.T          ,20230331
7752.T          ,20230331
3401.T          ,20230331
4543.T          ,20230331
7229.T          ,20230331
9425.T          ,20230430
6448.T          ,20230331
9506.T          ,20230331
9501.T          ,20230331
6963.T          ,20230331
6361.T          ,20230331
8011.T          ,20230228
6395.T          ,20230331
7011.T          ,20230331
9064.T          ,20230331
6841.T          ,20230331
8056.T          ,20230331
7951.T          ,20230331
5698.T          ,20230331
4503.T          ,20230331
8113.T          ,20230331
6371.T          ,20230331
7939.T          ,20230331
4208.T          ,20230331
7013.T          ,20230331
7261.T          ,20230331
3864.T          ,20230331
2914.T          ,20230331
6302.T          ,20230331
9503.T          ,20230331
9074.T          ,20230331
9104.T          ,20230331
8802.T          ,20230331
6412.T          ,20230331
4676.T          ,20230331
6503.T          ,20230331
7270.T          ,20230331
7211.T          ,20230331
5714.T          ,20230331
7912.T          ,20230331
4452.T          ,20230331
2801.T          ,20230331
7984.T          ,20230331
6473.T          ,20230331
3405.T          ,20230331
3686.T          ,20230331
4272.T          ,20230331
4183.T          ,20230331
7003.T          ,20230331
8001.T          ,20230331
5711.T          ,20230331
8002.T          ,20230331
8801.T          ,20230331
6981.T          ,20230331
8151.T          ,20230331
2593.T          ,20230430
8358.T          ,20230331
4005.T          ,20230331
9766.T          ,20230331
6301.T          ,20230331
9508.T          ,20230331
5802.T          ,20230331
4151.T          ,20230331
4912.T          ,20230331
6305.T          ,20230331
7741.T          ,20230331
9107.T          ,20230331
4694.T          ,20230331
8399.T          ,20230331
9783.T          ,20230331
4044.T          ,20230331
8331.T          ,20230331
7955.T          ,20230331
1376.T          ,20230228
4617.T          ,20230331
5471.T          ,20230331
9504.T          ,20230331
7238.T          ,20230331
7735.T          ,20230331
9832.T          ,20230331
9972.T          ,20230228
6754.T          ,20230331
2687.T          ,20230228
8214.T          ,20230331
6140.T          ,20230331
7259.T          ,20230331
8395.T          ,20230331
6146.T          ,20230331
8593.T          ,20230331
4662.T          ,20230331
9983.T          ,20230228
5384.T          ,20230331
4921.T          ,20230331
6406.T          ,20230331
6923.T          ,20230331
8253.T          ,20230331
6383.T          ,20230331
4114.T          ,20230331
6874.T          ,20230331
4041.T          ,20230331
5706.T          ,20230331
6141.T          ,20230331
9987.T          ,20230331
7272.T          ,20230331
3612.T          ,20230331
6925.T          ,20230331
9759.T          ,20230331
7762.T          ,20230331
6988.T          ,20230331
5331.T          ,20230331
4684.T          ,20230331
6645.T          ,20230331
7455.T          ,20230331
6444.T          ,20230331
8341.T          ,20230331
3353.T          ,20230228
7309.T          ,20230331
4203.T          ,20230331
6278.T          ,20230331
6946.T          ,20230331
7417.T          ,20230331
7581.T          ,20230228
6481.T          ,20230331
8604.T          ,20230331
5192.T          ,20230331
9656.T          ,20230331
6005.T          ,20230331
5906.T          ,20230320
9768.T          ,20230331
8303.T          ,20230331
4534.T          ,20230331
6647.T          ,20230331
4228.T          ,20230331
4524.T          ,20230331
5464.T          ,20230331
4661.T          ,20230331
8153.T          ,20230331
4708.T          ,20230331
7220.T          ,20230331
7999.T          ,20230331
7435.T          ,20230430
7447.T          ,20230228
7715.T          ,20230331
8012.T          ,20230331
7716.T          ,20230331
6715.T          ,20230331
7014.T          ,20230331
8544.T          ,20230331
6276.T          ,20230331
4814.T          ,20230331
4463.T          ,20230331
5393.T          ,20230331
8091.T          ,20230331
6467.T          ,20230331
7988.T          ,20230331
6779.T          ,20230331
4781.T          ,20230331
8732.T          ,20230331
5279.T          ,20230331
6849.T          ,20230331
4095.T          ,20230331
8336.T          ,20230331
5991.T          ,20230331
6930.T          ,20230331
6929.T          ,20230331
6997.T          ,20230331
5563.T          ,20230331
3512.T          ,20230331
2907.T          ,20230331
4362.T          ,20230331
6356.T          ,20230331
3891.T          ,20230331
1954.T          ,20230331
6490.T          ,20230331
4736.T          ,20230331
7287.T          ,20230331
5659.T          ,20230331
4920.T          ,20230228
4516.T          ,20230331
6741.T          ,20230331
7995.T          ,20230331
8086.T          ,20230331
6863.T          ,20230331
5161.T          ,20230331
7222.T          ,20230331
6284.T          ,20230331
6293.T          ,20230331
7915.T          ,20230331
5186.T          ,20230331
6651.T          ,20230331
6151.T          ,20230331
5957.T          ,20230331
3524.T          ,20230430
1929.T          ,20230331
6145.T          ,20230331
7879.T          ,20230228
7522.T          ,20230331
4403.T          ,20230331
6744.T          ,20230331
7744.T          ,20230331
9716.T          ,20230228
4526.T          ,20230331
6877.T          ,20230331
6149.T          ,20230331
8951.T          ,20221231
8022.T          ,20230331
7974.T          ,20230331
6479.T          ,20230331
7509.T          ,20230331
3169.T          ,20230430
4902.T          ,20230331
9301.T          ,20230331
8393.T          ,20230331
5332.T          ,20230331
7231.T          ,20230331
2481.T          ,20230331
4634.T          ,20230331
7911.T          ,20230331
5901.T          ,20230331
9005.T          ,20230331
1969.T          ,20230331
1407.T          ,20230228
2424.T          ,20230430
5232.T          ,20230331
3110.T          ,20230331
5929.T          ,20230331
4091.T          ,20230331
9364.T          ,20230331
5233.T          ,20230331
6594.T          ,20230331
5715.T          ,20230331
9007.T          ,20230331
2001.T          ,20230331
6807.T          ,20230331
9147.T          ,20230331
9310.T          ,20230331
9742.T          ,20230331
4613.T          ,20230331
4922.T          ,20230331
6457.T          ,20230331
8334.T          ,20230331
4028.T          ,20230331
2811.T          ,20230331
7864.T          ,20230331
1942.T          ,20230331
7337.T          ,20230331
5939.T          ,20230331
7276.T          ,20230331
6965.T          ,20230331
6954.T          ,20230331
4528.T          ,20230331
4088.T          ,20230331
3402.T          ,20230331
8361.T          ,20230331
6248.T          ,20230331
8267.T          ,20230228
8140.T          ,20230331
7453.T          ,20230228
9509.T          ,20230331
4651.T          ,20230331
6113.T          ,20230331
6707.T          ,20230331
6136.T          ,20230228
7942.T          ,20230331
4351.T          ,20230331
8088.T          ,20230331
5851.T          ,20230331
6366.T          ,20230331
8168.T          ,20230228
6856.T          ,20230331
4523.T          ,20230331
3371.T          ,20230331
3593.T          ,20230331
8511.T          ,20230331
8309.T          ,20230331
9505.T          ,20230331
6976.T          ,20230331
7202.T          ,20230331
3445.T          ,20230331
6273.T          ,20230331
4536.T          ,20230331
1820.T          ,20230331
6798.T          ,20230331
5101.T          ,20230331
2810.T          ,20230331
6857.T          ,20230331
7420.T          ,20230228
4768.T          ,20230331
9433.T          ,20230331
7888.T          ,20230228
9041.T          ,20230331
4182.T          ,20230331
1333.T          ,20230331
6508.T          ,20230331
1861.T          ,20230331
6104.T          ,20230331
6844.T          ,20230331
2875.T          ,20230331
8558.T          ,20230331
6330.T          ,20230331
5481.T          ,20230331
6462.T          ,20230331
9507.T          ,20230331
4471.T          ,20230331
9900.T          ,20230331
4540.T          ,20230331
6430.T          ,20230331
6287.T          ,20230331
1952.T          ,20230331
4951.T          ,20230331
2607.T          ,20230331
8381.T          ,20230331
6590.T          ,20230331
4887.T          ,20230331
6480.T          ,20230331
4642.T          ,20230331
6282.T          ,20230331
7618.T          ,20230331
4548.T          ,20230331
5805.T          ,20230331
6588.T          ,20230331
4118.T          ,20230331
5976.T          ,20230331
7718.T          ,20230331
2602.T          ,20230331
9830.T          ,20230331
9006.T          ,20230331
8367.T          ,20230331
9008.T          ,20230331
2201.T          ,20230331
7956.T          ,20230331
8830.T          ,20230331
6869.T          ,20230331
1979.T          ,20230331
4987.T          ,20230331
3865.T          ,20230331
6670.T          ,20230331
7729.T          ,20230331
7743.T          ,20230331
4186.T          ,20230331
6861.T          ,20230320
1926.T          ,20230331
4043.T          ,20230331
1963.T          ,20230331
8043.T          ,20230331
7867.T          ,20230331
1447.T          ,20230331
5423.T          ,20230331
7226.T          ,20230331
4547.T          ,20230331
7600.T          ,20230331
1878.T          ,20230331
6958.T          ,20230331
