i,이름, 코드, 거래소, koscom_day, naver_day
612,7132,7132.T,도쿄 거래소,20230331,20230331
613,4171,4171.T,도쿄 거래소,20230331,20230331
614,7139,7139.T,도쿄 거래소,20221130,20221130
616,7793,7793.T,도쿄 거래소,20230430,20230430
617,4435,4435.T,도쿄 거래소,20230331,20230331
618,9227,9227.T,도쿄 거래소,20230331,20230331
619,5528,5528.T,도쿄 거래소,20221231,20221231
620,6998,6998.T,도쿄 거래소,20230331,20230331
621,4492,4492.T,도쿄 거래소,20230331,20230331
622,7791,7791.T,도쿄 거래소,20230331,20230331
623,4434,4434.T,도쿄 거래소,20230228,20230228
624,7678,7678.T,도쿄 거래소,20230331,20230331
625,4429,4429.T,도쿄 거래소,20230228,20230228
627,4882,4882.T,도쿄 거래소,20230331,20230331
628,7095,7095.T,도쿄 거래소,20230430,20230430
629,2936,2936.T,도쿄 거래소,20230228,20230228
630,1451,1451.T,도쿄 거래소,20230331,20230331
631,5137,5137.T,도쿄 거래소,20230331,20230331
632,4936,4936.T,도쿄 거래소,20230430,20230430
633,7134,7134.T,도쿄 거래소,20230331,20230331
634,5025,5025.T,도쿄 거래소,20230228,20230228
635,7057,7057.T,도쿄 거래소,20230331,20230331
636,4376,4376.T,도쿄 거래소,20230331,20230331
637,7683,7683.T,도쿄 거래소,20230430,20230430
638,7692,7692.T,도쿄 거래소,20230430,20230430
639,4449,4449.T,도쿄 거래소,20230331,20230331
640,5129,5129.T,도쿄 거래소,20230228,20230228
641,7790,7790.T,도쿄 거래소,20230331,20230331
642,5033,5033.T,도쿄 거래소,20230331,20230331
643,4493,4493.T,도쿄 거래소,20230331,20230331
644,5532,5532.T,도쿄 거래소,20230331,20230331
645,5244,5244.T,도쿄 거래소,20230331,20230331
646,1375,1375.T,도쿄 거래소,20230331,20230331
647,6612,6612.T,도쿄 거래소,20230331,20230331
648,6527,6527.T,도쿄 거래소,20230331,20230331
649,7069,7069.T,도쿄 거래소,20230331,20230331
650,9311,9311.T,도쿄 거래소,20230331,20230331
652,4176,4176.T,도쿄 거래소,20230228,20230228
653,7133,7133.T,도쿄 거래소,20230331,20230331
654,4690,4690.T,도쿄 거래소,20230331,20230331
655,2998,2998.T,도쿄 거래소,20230331,20230331
656,4256,4256.T,도쿄 거래소,20230331,20230331
657,7086,7086.T,도쿄 거래소,20230228,20230228
658,9658,9658.T,도쿄 거래소,20230331,20230331
659,4495,4495.T,도쿄 거래소,20230331,20230331
660,2983,2983.T,도쿄 거래소,20230430,20230430
661,5074,5074.T,도쿄 거래소,20230331,20230331
662,7820,7820.T,도쿄 거래소,20230331,20230331
663,9341,9341.T,도쿄 거래소,20230331,20230331
664,4937,4937.T,도쿄 거래소,20230331,20230331
665,7371,7371.T,도쿄 거래소,20230331,20230331
666,4416,4416.T,도쿄 거래소,20230331,20230331
667,4259,4259.T,도쿄 거래소,20230331,20230331
668,4263,4263.T,도쿄 거래소,20230331,20230331
669,2993,2993.T,도쿄 거래소,20230331,20230331
670,4488,4488.T,도쿄 거래소,20230331,20230331
671,7079,7079.T,도쿄 거래소,20230331,20230331
672,4884,4884.T,도쿄 거래소,20230331,20230331
673,5138,5138.T,도쿄 거래소,20230331,20230331
674,6498,6498.T,도쿄 거래소,20230331,20230331
675,4198,4198.T,도쿄 거래소,20230228,20230228
676,7318,7318.T,도쿄 거래소,20230331,20230331
677,3727,3727.T,도쿄 거래소,20230331,20230331
678,5256,5256.T,도쿄 거래소,20230331,20230331
679,4379,4379.T,도쿄 거래소,20230331,20230331
680,9244,9244.T,도쿄 거래소,20230331,20230331
681,7359,7359.T,도쿄 거래소,20230331,20230331
682,5132,5132.T,도쿄 거래소,20230430,20230430
683,7695,7695.T,도쿄 거래소,20230331,20230331
684,5126,5126.T,도쿄 거래소,20230331,20230331
685,5881,5881.T,도쿄 거래소,20230331,20230331
686,4371,4371.T,도쿄 거래소,20230331,20230331
687,2989,2989.T,도쿄 거래소,20230131,20230131
688,7691,7691.T,도쿄 거래소,20230331,20230331
689,4192,4192.T,도쿄 거래소,20230331,20230331
690,9307,9307.T,도쿄 거래소,20230331,20230331
691,4175,4175.T,도쿄 거래소,20230430,20230430
692,4016,4016.T,도쿄 거래소,20230228,20230228
693,7118,7118.T,도쿄 거래소,20230331,20230331
694,7372,7372.T,도쿄 거래소,20230331,20230331
695,4167,4167.T,도쿄 거래소,20230331,20230331
696,4264,4264.T,도쿄 거래소,20230331,20230331
697,5581,5581.T,도쿄 거래소,20230228,20230228
698,9229,9229.T,도쿄 거래소,20230331,20230331
699,5079,5079.T,도쿄 거래소,20230430,20230430
700,6526,6526.T,도쿄 거래소,20230331,20230331
701,4170,4170.T,도쿄 거래소,20230331,20230331
702,4075,4075.T,도쿄 거래소,20230430,20230430
703,4257,4257.T,도쿄 거래소,20221231,20221231
704,9216,9216.T,도쿄 거래소,20230228,20230228
705,4179,4179.T,도쿄 거래소,20230331,20230331
706,5834,5834.T,도쿄 거래소,20230331,20230331
707,9348,9348.T,도쿄 거래소,20230331,20230331
708,4890,4890.T,도쿄 거래소,20230331,20230331
709,6363,6363.T,도쿄 거래소,20230331,20230331
710,4268,4268.T,도쿄 거래소,20230430,20230430
711,5026,5026.T,도쿄 거래소,20230228,20230228
712,9342,9342.T,도쿄 거래소,20230331,20230331
713,4418,4418.T,도쿄 거래소,20230331,20230331
714,9240,9240.T,도쿄 거래소,20230430,20230430
715,2286,2286.T,도쿄 거래소,20230331,20230331
716,4373,4373.T,도쿄 거래소,20230331,20230331
717,5759,5759.T,도쿄 거래소,20230331,20230331
718,7126,7126.T,도쿄 거래소,20230430,20230430
719,4194,4194.T,도쿄 거래소,20230430,20230430
720,4069,4069.T,도쿄 거래소,20230331,20230331
721,6168,6168.T,도쿄 거래소,20221231,20221231
722,9215,9215.T,도쿄 거래소,20230228,20230228
723,9553,9553.T,도쿄 거래소,20230331,20230331
725,2990,2990.T,도쿄 거래소,20230331,20230331
726,7128,7128.T,도쿄 거래소,20230331,20230331
727,5077,5077.T,도쿄 거래소,20221231,20221231
728,5572,5572.T,도쿄 거래소,20230430,20230430
729,9552,9552.T,도쿄 거래소,20230331,20230331
730,5125,5125.T,도쿄 거래소,20230331,20230331
731,9339,9339.T,도쿄 거래소,20230331,20230331
732,9220,9220.T,도쿄 거래소,20230331,20230331
733,2587,2587.T,도쿄 거래소,20230331,20230331
734,9246,9246.T,도쿄 거래소,20230331,20230331
735,9254,9254.T,도쿄 거래소,20230331,20230331
736,9250,9250.T,도쿄 거래소,20230228,20230228
737,5131,5131.T,도쿄 거래소,20230430,20230430
738,6317,6317.T,도쿄 거래소,20230331,20230331
739,5037,5037.T,도쿄 거래소,20221130,20221130
740,5036,5036.T,도쿄 거래소,20230331,20230331
741,5241,5241.T,도쿄 거래소,20221231,20221231
742,4260,4260.T,도쿄 거래소,20230331,20230331
743,9346,9346.T,도쿄 거래소,20230331,20230331
744,5032,5032.T,도쿄 거래소,20230430,20230430
745,5246,5246.T,도쿄 거래소,20230228,20230228
746,7131,7131.T,도쿄 거래소,20230430,20230430
747,9343,9343.T,도쿄 거래소,20230331,20230331
748,7180,7180.T,도쿄 거래소,20230331,20230331
749,4258,4258.T,도쿄 거래소,20230331,20230331
750,5928,5928.T,도쿄 거래소,20230331,20230331
751,9156,9156.T,도쿄 거래소,20230331,20230331
752,9221,9221.T,도쿄 거래소,20230331,20230331
753,9532,9532.T,도쿄 거래소,20230331,20230331
754,4894,4894.T,도쿄 거래소,20230331,20230331
755,5029,5029.T,도쿄 거래소,20230331,20230331
756,9158,9158.T,도쿄 거래소,20221231,20221231
757,5130,5130.T,도쿄 거래소,20230228,20230228
759,9338,9338.T,도쿄 거래소,20230331,20230331
760,5526,5526.T,도쿄 거래소,20230430,20230430
761,5577,5577.T,도쿄 거래소,20230228,20230228
762,9557,9557.T,도쿄 거래소,20230331,20230331
763,5134,5134.T,도쿄 거래소,20230430,20230430
764,5035,5035.T,도쿄 거래소,20230331,20230331
765,5251,5251.T,도쿄 거래소,20221231,20221231
766,7120,7120.T,도쿄 거래소,20230331,20230331
767,7963,7963.T,도쿄 거래소,20230331,20230331
768,9160,9160.T,도쿄 거래소,20230331,20230331
770,5575,5575.T,도쿄 거래소,20230228,20230228
771,5243,5243.T,도쿄 거래소,20230228,20230228
774,5258,5258.T,도쿄 거래소,20230331,20230331
775,5242,5242.T,도쿄 거래소,20230331,20230331
776,5249,5249.T,도쿄 거래소,20230331,20230331
777,9159,9159.T,도쿄 거래소,20230331,20230331
778,8035,8035.T,도쿄 거래소,20230331,20230331
779,6952,6952.T,도쿄 거래소,20230331,20230331
780,4502,4502.T,도쿄 거래소,20230331,20230331
781,5803,5803.T,도쿄 거래소,20230331,20230331
782,2802,2802.T,도쿄 거래소,20230331,20230331
783,1812,1812.T,도쿄 거래소,20230331,20230331
784,1925,1925.T,도쿄 거래소,20230331,20230331
785,2871,2871.T,도쿄 거래소,20230331,20230331
786,5333,5333.T,도쿄 거래소,20230331,20230331
787,4519,4519.T,도쿄 거래소,20230331,20230331
788,2502,2502.T,도쿄 거래소,20230331,20230331
789,7731,7731.T,도쿄 거래소,20230331,20230331
790,5201,5201.T,도쿄 거래소,20230331,20230331
791,6770,6770.T,도쿄 거래소,20230331,20230331
792,3407,3407.T,도쿄 거래소,20230331,20230331
793,4631,4631.T,도쿄 거래소,20230331,20230331
794,9202,9202.T,도쿄 거래소,20230331,20230331
795,9404,9404.T,도쿄 거래소,20230331,20230331
796,1332,1332.T,도쿄 거래소,20230331,20230331
797,5214,5214.T,도쿄 거래소,20230331,20230331
798,4612,4612.T,도쿄 거래소,20230331,20230331
799,2282,2282.T,도쿄 거래소,20230331,20230331
800,5202,5202.T,도쿄 거래소,20230331,20230331
801,3105,3105.T,도쿄 거래소,20230331,20230331
802,3374,3374.T,도쿄 거래소,20230331,20230331
803,6471,6471.T,도쿄 거래소,20230331,20230331
804,7186,7186.T,도쿄 거래소,20230331,20230331
805,9101,9101.T,도쿄 거래소,20230331,20230331
806,6703,6703.T,도쿄 거래소,20230331,20230331
807,2501,2501.T,도쿄 거래소,20230331,20230331
808,8136,8136.T,도쿄 거래소,20230331,20230331
809,4063,4063.T,도쿄 거래소,20230331,20230331
810,1928,1928.T,도쿄 거래소,20230430,20230430
811,7701,7701.T,도쿄 거래소,20230331,20230331
812,2883,2883.T,도쿄 거래소,20230331,20230331
813,9076,9076.T,도쿄 거래소,20230331,20230331
814,2469,2469.T,도쿄 거래소,20230331,20230331
815,1802,1802.T,도쿄 거래소,20230331,20230331
817,8053,8053.T,도쿄 거래소,20230331,20230331
818,9502,9502.T,도쿄 거래소,20230331,20230331
819,5713,5713.T,도쿄 거래소,20230331,20230331
