i,이름, 코드, 거래소, koscom_day, naver_day
2234,9539,9539.T,도쿄 거래소,20230331,20230331
2235,9534,9534.T,도쿄 거래소,20230331,20230331
2236,7975,7975.T,도쿄 거래소,20230228,20230228
2237,8541,8541.T,도쿄 거래소,20230331,20230331
2238,9322,9322.T,도쿄 거래소,20230331,20230331
2239,2594,2594.T,도쿄 거래소,20230331,20230331
2240,7952,7952.T,도쿄 거래소,20230331,20230331
2241,6989,6989.T,도쿄 거래소,20230331,20230331
2242,8596,8596.T,도쿄 거래소,20230331,20230331
2243,9312,9312.T,도쿄 거래소,20230331,20230331
2244,9661,9661.T,도쿄 거래소,20230228,20230228
2245,5921,5921.T,도쿄 거래소,20230331,20230331
2246,3667,3667.T,도쿄 거래소,20230331,20230331
2247,1757,1757.T,도쿄 거래소,20230331,20230331
2248,4361,4361.T,도쿄 거래소,20230228,20230228
2249,6677,6677.T,도쿄 거래소,20230331,20230331
2250,2915,2915.T,도쿄 거래소,20230331,20230331
2251,9685,9685.T,도쿄 거래소,20230331,20230331
2252,9073,9073.T,도쿄 거래소,20230331,20230331
2253,8104,8104.T,도쿄 거래소,20230331,20230331
2254,6973,6973.T,도쿄 거래소,20230331,20230331
2255,7256,7256.T,도쿄 거래소,20230331,20230331
2256,6390,6390.T,도쿄 거래소,20230331,20230331
2257,9919,9919.T,도쿄 거래소,20230331,20230331
2258,7953,7953.T,도쿄 거래소,20230331,20230331
2259,4026,4026.T,도쿄 거래소,20230430,20230430
2260,5915,5915.T,도쿄 거래소,20230331,20230331
2261,9130,9130.T,도쿄 거래소,20230331,20230331
2262,2222,2222.T,도쿄 거래소,20230331,20230331
2263,9869,9869.T,도쿄 거래소,20230331,20230331
2264,3420,3420.T,도쿄 거래소,20230331,20230331
2265,5966,5966.T,도쿄 거래소,20230331,20230331
2266,6416,6416.T,도쿄 거래소,20230331,20230331
2267,1897,1897.T,도쿄 거래소,20230331,20230331
2268,6346,6346.T,도쿄 거래소,20230331,20230331
2269,3553,3553.T,도쿄 거래소,20230331,20230331
2270,5971,5971.T,도쿄 거래소,20230430,20230430
2271,7946,7946.T,도쿄 거래소,20230331,20230331
2272,9973,9973.T,도쿄 거래소,20230331,20230331
2273,1764,1764.T,도쿄 거래소,20230331,20230331
2274,4750,4750.T,도쿄 거래소,20230420,20230420
2275,7997,7997.T,도쿄 거래소,20230228,20230228
2276,3106,3106.T,도쿄 거래소,20230331,20230331
2277,6472,6472.T,도쿄 거래소,20230331,20230331
2278,7940,7940.T,도쿄 거래소,20230331,20230331
2279,4312,4312.T,도쿄 거래소,20230331,20230331
2280,2664,2664.T,도쿄 거래소,20230315,20230315
2281,4295,4295.T,도쿄 거래소,20230331,20230331
2282,6195,6195.T,도쿄 거래소,20230331,20230331
2283,7278,7278.T,도쿄 거래소,20230331,20230331
2284,7709,7709.T,도쿄 거래소,20230331,20230331
2285,8952,8952.T,도쿄 거래소,20230331,20230331
2286,7943,7943.T,도쿄 거래소,20230331,20230331
2287,8953,8953.T,도쿄 거래소,20230228,20230228
2288,8890,8890.T,도쿄 거래소,20230331,20230331
2289,2698,2698.T,도쿄 거래소,20230228,20230228
2290,4847,4847.T,도쿄 거래소,20230331,20230331
2291,9039,9039.T,도쿄 거래소,20230331,20230331
2292,4838,4838.T,도쿄 거래소,20230331,20230331
2293,4994,4994.T,도쿄 거래소,20230331,20230331
2294,8954,8954.T,도쿄 거래소,20230228,20230228
2295,9057,9057.T,도쿄 거래소,20230331,20230331
2296,9048,9048.T,도쿄 거래소,20230331,20230331
2297,2331,2331.T,도쿄 거래소,20230331,20230331
2298,4062,4062.T,도쿄 거래소,20230331,20230331
2299,7451,7451.T,도쿄 거래소,20230331,20230331
2300,7282,7282.T,도쿄 거래소,20230331,20230331
2301,5956,5956.T,도쿄 거래소,20230331,20230331
2302,2702,2702.T,도쿄 거래소,20230331,20230331
2303,9003,9003.T,도쿄 거래소,20230331,20230331
2304,8015,8015.T,도쿄 거래소,20230331,20230331
2305,4720,4720.T,도쿄 거래소,20230331,20230331
2306,8278,8278.T,도쿄 거래소,20230228,20230228
2307,8185,8185.T,도쿄 거래소,20230228,20230228
2308,2264,2264.T,도쿄 거래소,20230331,20230331
2309,8130,8130.T,도쿄 거래소,20230331,20230331
2310,7532,7532.T,도쿄 거래소,20230331,20230331
2311,8566,8566.T,도쿄 거래소,20230331,20230331
2312,9843,9843.T,도쿄 거래소,20230331,20230331
2313,9031,9031.T,도쿄 거래소,20230331,20230331
2314,7937,7937.T,도쿄 거래소,20230331,20230331
2315,4755,4755.T,도쿄 거래소,20230331,20230331
2316,9601,9601.T,도쿄 거래소,20230228,20230228
2317,6788,6788.T,도쿄 거래소,20230331,20230331
2318,5444,5444.T,도쿄 거래소,20230331,20230331
2319,9536,9536.T,도쿄 거래소,20230331,20230331
2320,4735,4735.T,도쿄 거래소,20230228,20230228
2321,8131,8131.T,도쿄 거래소,20230331,20230331
2322,7649,7649.T,도쿄 거래소,20230228,20230228
2323,7981,7981.T,도쿄 거래소,20230331,20230331
2324,5122,5122.T,도쿄 거래소,20230331,20230331
2325,9303,9303.T,도쿄 거래소,20230331,20230331
2326,4552,4552.T,도쿄 거래소,20230331,20230331
2327,7914,7914.T,도쿄 거래소,20230331,20230331
2328,7279,7279.T,도쿄 거래소,20230430,20230430
2329,5105,5105.T,도쿄 거래소,20230331,20230331
2330,8179,8179.T,도쿄 거래소,20230331,20230331
2331,4914,4914.T,도쿄 거래소,20230331,20230331
2332,4553,4553.T,도쿄 거래소,20230331,20230331
2333,7905,7905.T,도쿄 거래소,20230331,20230331
2334,6817,6817.T,도쿄 거래소,20230331,20230331
2335,6464,6464.T,도쿄 거래소,20230331,20230331
2336,9052,9052.T,도쿄 거래소,20230331,20230331
2337,2004,2004.T,도쿄 거래소,20230331,20230331
2338,4078,4078.T,도쿄 거래소,20230331,20230331
2339,9302,9302.T,도쿄 거래소,20230331,20230331
2340,2540,2540.T,도쿄 거래소,20230331,20230331
2341,8841,8841.T,도쿄 거래소,20230331,20230331
2342,3439,3439.T,도쿄 거래소,20230331,20230331
2343,8097,8097.T,도쿄 거래소,20230331,20230331
2344,6335,6335.T,도쿄 거래소,20230331,20230331
2345,9672,9672.T,도쿄 거래소,20230331,20230331
2346,8089,8089.T,도쿄 거래소,20230331,20230331
2347,8537,8537.T,도쿄 거래소,20230331,20230331
2348,6332,6332.T,도쿄 거래소,20230331,20230331
2349,2899,2899.T,도쿄 거래소,20230331,20230331
2350,6507,6507.T,도쿄 거래소,20230331,20230331
2351,5449,5449.T,도쿄 거래소,20230331,20230331
2352,5727,5727.T,도쿄 거래소,20230331,20230331
2353,9065,9065.T,도쿄 거래소,20230331,20230331
2354,4628,4628.T,도쿄 거래소,20230331,20230331
2355,9902,9902.T,도쿄 거래소,20230331,20230331
2356,2108,2108.T,도쿄 거래소,20230331,20230331
2357,4116,4116.T,도쿄 거래소,20230331,20230331
2358,1980,1980.T,도쿄 거래소,20230331,20230331
2359,4549,4549.T,도쿄 거래소,20230331,20230331
2360,9232,9232.T,도쿄 거래소,20230331,20230331
2361,6835,6835.T,도쿄 거래소,20230331,20230331
2362,2229,2229.T,도쿄 거래소,20230331,20230331
2363,6768,6768.T,도쿄 거래소,20230331,20230331
2364,4966,4966.T,도쿄 거래소,20230331,20230331
2365,8613,8613.T,도쿄 거래소,20230331,20230331
2366,8550,8550.T,도쿄 거래소,20230331,20230331
2367,2910,2910.T,도쿄 거래소,20230430,20230430
2368,5930,5930.T,도쿄 거래소,20230331,20230331
2369,7298,7298.T,도쿄 거래소,20230331,20230331
2370,4221,4221.T,도쿄 거래소,20230331,20230331
2371,7482,7482.T,도쿄 거래소,20230331,20230331
2372,3569,3569.T,도쿄 거래소,20230331,20230331
2373,6763,6763.T,도쿄 거래소,20230331,20230331
2374,9812,9812.T,도쿄 거래소,20230228,20230228
2375,8365,8365.T,도쿄 거래소,20230331,20230331
2376,9304,9304.T,도쿄 거래소,20230331,20230331
2377,6340,6340.T,도쿄 거래소,20230331,20230331
2378,6156,6156.T,도쿄 거래소,20230331,20230331
2379,5932,5932.T,도쿄 거래소,20230228,20230228
2380,3877,3877.T,도쿄 거래소,20230331,20230331
2381,6197,6197.T,도쿄 거래소,20230331,20230331
2382,8237,8237.T,도쿄 거래소,20230228,20230228
2383,9936,9936.T,도쿄 거래소,20230331,20230331
2384,2378,2378.T,도쿄 거래소,20230331,20230331
2385,6622,6622.T,도쿄 거래소,20230331,20230331
2386,7512,7512.T,도쿄 거래소,20230228,20230228
2387,9699,9699.T,도쿄 거래소,20230331,20230331
2388,7412,7412.T,도쿄 거래소,20230331,20230331
2389,9717,9717.T,도쿄 거래소,20230228,20230228
2390,7483,7483.T,도쿄 거래소,20230331,20230331
2392,1939,1939.T,도쿄 거래소,20230331,20230331
2393,4671,4671.T,도쿄 거래소,20230331,20230331
2394,3003,3003.T,도쿄 거래소,20230331,20230331
2395,6890,6890.T,도쿄 거래소,20230331,20230331
2396,6310,6310.T,도쿄 거래소,20230331,20230331
2397,2053,2053.T,도쿄 거래소,20230331,20230331
2398,7874,7874.T,도쿄 거래소,20230331,20230331
2399,8283,8283.T,도쿄 거래소,20230331,20230331
2400,9066,9066.T,도쿄 거래소,20230331,20230331
2401,8349,8349.T,도쿄 거래소,20230331,20230331
2402,6101,6101.T,도쿄 거래소,20230331,20230331
2403,8364,8364.T,도쿄 거래소,20230331,20230331
2404,4092,4092.T,도쿄 거래소,20230331,20230331
2405,9083,9083.T,도쿄 거래소,20230331,20230331
2406,2109,2109.T,도쿄 거래소,20230331,20230331
2407,5902,5902.T,도쿄 거래소,20230331,20230331
2408,6809,6809.T,도쿄 거래소,20230331,20230331
2409,3950,3950.T,도쿄 거래소,20230331,20230331
2410,7635,7635.T,도쿄 거래소,20230331,20230331
2411,8051,8051.T,도쿄 거래소,20230331,20230331
2412,5541,5541.T,도쿄 거래소,20230331,20230331
2413,6915,6915.T,도쿄 거래소,20230331,20230331
2414,4080,4080.T,도쿄 거래소,20230331,20230331
2415,9351,9351.T,도쿄 거래소,20230331,20230331
2416,6850,6850.T,도쿄 거래소,20230331,20230331
2417,6584,6584.T,도쿄 거래소,20230331,20230331
2418,8207,8207.T,도쿄 거래소,20230331,20230331
2419,8141,8141.T,도쿄 거래소,20230331,20230331
2420,5658,5658.T,도쿄 거래소,20230331,20230331
2421,4218,4218.T,도쿄 거래소,20230331,20230331
2422,9846,9846.T,도쿄 거래소,20230228,20230228
2423,2292,2292.T,도쿄 거래소,20230228,20230228
2424,2922,2922.T,도쿄 거래소,20230331,20230331
2425,8074,8074.T,도쿄 거래소,20230331,20230331
2426,6748,6748.T,도쿄 거래소,20230331,20230331
2427,9324,9324.T,도쿄 거래소,20230331,20230331
2428,6306,6306.T,도쿄 거래소,20230331,20230331
2429,6962,6962.T,도쿄 거래소,20230331,20230331
